Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;101,722;129,722;1;101,358;5;1
T. GLOCK;24;2;100,251;229,973;1;99,978;5;2
T. GLOCK;24;3;99,613;329,586;1;99,431;5;3
T. GLOCK;24;4;99,301;428,887;1;99,21;5;4
T. GLOCK;24;5;111,574;540,461;1;111,574;5;5
T. GLOCK;24;7;99,659;1488,039;2;99,477;3;1
T. GLOCK;24;8;99,3;1587,339;2;99,209;3;2
T. GLOCK;24;9;107,444;1694,783;2;107,444;3;3
T. GLOCK;24;11;99,203;2412,614;3;98,839;5;1
T. GLOCK;24;12;99,099;2511,713;3;98,826;5;2
T. GLOCK;24;13;98,877;2610,59;3;98,695;5;3
T. GLOCK;24;14;98,551;2709,141;3;98,46;5;4
T. GLOCK;24;15;106,362;2815,503;3;106,362;5;5
T. GLOCK;24;17;96,94;3484,307;4;96,667;4;1
T. GLOCK;24;18;97,344;3581,651;4;97,162;4;2
T. GLOCK;24;19;96,976;3678,627;4;96,885;4;3
T. GLOCK;24;20;127,53;3806,157;4;127,53;4;4
T. GLOCK;24;22;102,025;4517,52;5;101,206;10;1
T. GLOCK;24;23;102,413;4619,933;5;101,685;10;2
T. GLOCK;24;24;101,398;4721,331;5;100,761;10;3
T. GLOCK;24;25;101,855;4823,186;5;101,309;10;4
T. GLOCK;24;26;101,873;4925,059;5;101,418;10;5
T. GLOCK;24;27;101,795;5026,854;5;101,431;10;6
T. GLOCK;24;28;101,815;5128,669;5;101,542;10;7
T. GLOCK;24;29;108,921;5237,59;5;108,739;10;8
T. GLOCK;24;30;101,613;5339,203;5;101,522;10;9
T. GLOCK;24;31;122,331;5461,534;5;122,331;10;10
J. D'AMBROSIO;25;1;106,89;122,89;1;106,526;5;1
J. D'AMBROSIO;25;2;105,143;228,033;1;104,87;5;2
J. D'AMBROSIO;25;3;106,998;335,031;1;106,816;5;3
J. D'AMBROSIO;25;4;105,319;440,35;1;105,228;5;4
J. D'AMBROSIO;25;5;111,161;551,511;1;111,161;5;5
J. D'AMBROSIO;25;7;104,09;804,163;2;103,453;8;1
J. D'AMBROSIO;25;8;103,466;907,629;2;102,92;8;2
J. D'AMBROSIO;25;9;103,863;1011,492;2;103,408;8;3
J. D'AMBROSIO;25;10;103,964;1115,456;2;103,6;8;4
J. D'AMBROSIO;25;11;105,076;1220,532;2;104,803;8;5
J. D'AMBROSIO;25;12;103,581;1324,113;2;103,399;8;6
J. D'AMBROSIO;25;13;103,978;1428,091;2;103,887;8;7
J. D'AMBROSIO;25;14;113,319;1541,41;2;113,319;8;8
J. D'AMBROSIO;25;16;99,973;2227,666;3;99,609;5;1
J. D'AMBROSIO;25;17;99,28;2326,946;3;99,007;5;2
J. D'AMBROSIO;25;18;103,138;2430,084;3;102,956;5;3
J. D'AMBROSIO;25;19;99,066;2529,15;3;98,975;5;4
J. D'AMBROSIO;25;20;108,422;2637,572;3;108,422;5;5
J. D'AMBROSIO;25;22;99,957;3462,979;4;99,866;2;1
J. D'AMBROSIO;25;23;108,904;3571,883;4;108,904;2;2
J. D'AMBROSIO;25;25;101,024;4381,27;5;100,842;3;1
J. D'AMBROSIO;25;26;98,809;4480,079;5;98,718;3;2
J. D'AMBROSIO;25;27;105,124;4585,203;5;105,124;3;3
J. D'AMBROSIO;25;29;98,06;5061,354;6;97,787;4;1
J. D'AMBROSIO;25;30;97,391;5158,745;6;97,209;4;2
J. D'AMBROSIO;25;31;97,313;5256,058;6;97,222;4;3
J. D'AMBROSIO;25;32;103,309;5359,367;6;103,309;4;4
H. KOVALAINEN;20;1;98,971;107,971;1;98,425;7;1
H. KOVALAINEN;20;2;106,075;214,046;1;105,62;7;2
H. KOVALAINEN;20;3;98,313;312,359;1;97,949;7;3
H. KOVALAINEN;20;4;102,952;415,311;1;102,679;7;4
H. KOVALAINEN;20;5;103,964;519,275;1;103,782;7;5
H. KOVALAINEN;20;6;103,68;622,955;1;103,589;7;6
H. KOVALAINEN;20;7;104,422;727,377;1;104,422;7;7
H. KOVALAINEN;20;9;100,357;1379,548;2;99,447;11;1
H. KOVALAINEN;20;10;99,446;1478,994;2;98,627;11;2
H. KOVALAINEN;20;11;99,659;1578,653;2;98,931;11;3
H. KOVALAINEN;20;12;99,056;1677,709;2;98,419;11;4
H. KOVALAINEN;20;13;100,002;1777,711;2;99,456;11;5
H. KOVALAINEN;20;14;98,87;1876,581;2;98,415;11;6
H. KOVALAINEN;20;15;98,459;1975,04;2;98,095;11;7
H. KOVALAINEN;20;16;98,714;2073,754;2;98,441;11;8
H. KOVALAINEN;20;17;98,665;2172,419;2;98,483;11;9
H. KOVALAINEN;20;18;99,975;2272,394;2;99,884;11;10
H. KOVALAINEN;20;19;112,011;2384,405;2;112,011;11;11
H. KOVALAINEN;20;21;98,399;3036,639;3;98,126;4;1
H. KOVALAINEN;20;22;95,753;3132,392;3;95,571;4;2
H. KOVALAINEN;20;23;103,899;3236,291;3;103,808;4;3
H. KOVALAINEN;20;24;107,596;3343,887;3;107,596;4;4
H. KOVALAINEN;20;26;100,162;3905,276;4;98,797;16;1
H. KOVALAINEN;20;27;100,043;4005,319;4;98,769;16;2
H. KOVALAINEN;20;28;107,254;4112,573;4;106,071;16;3
H. KOVALAINEN;20;29;100,232;4212,805;4;99,14;16;4
H. KOVALAINEN;20;30;99,912;4312,717;4;98,911;16;5
H. KOVALAINEN;20;31;99,808;4412,525;4;98,898;16;6
H. KOVALAINEN;20;32;99,52;4512,045;4;98,701;16;7
H. KOVALAINEN;20;33;99,239;4611,284;4;98,511;16;8
H. KOVALAINEN;20;34;99,14;4710,424;4;98,503;16;9
H. KOVALAINEN;20;35;99,149;4809,573;4;98,603;16;10
H. KOVALAINEN;20;36;99,537;4909,11;4;99,082;16;11
H. KOVALAINEN;20;37;99,245;5008,355;4;98,881;16;12
H. KOVALAINEN;20;38;116,245;5124,6;4;115,972;16;13
H. KOVALAINEN;20;39;100,012;5224,612;4;99,83;16;14
H. KOVALAINEN;20;40;99,638;5324,25;4;99,547;16;15
H. KOVALAINEN;20;41;108,608;5432,858;4;108,608;16;16
K. CHANDHOK;21;1;100,093;148,093;1;99,729;5;1
K. CHANDHOK;21;2;113,564;261,657;1;113,291;5;2
K. CHANDHOK;21;3;99,558;361,215;1;99,376;5;3
K. CHANDHOK;21;4;98,578;459,793;1;98,487;5;4
K. CHANDHOK;21;5;108,799;568,592;1;108,799;5;5
K. CHANDHOK;21;7;107,83;1476,874;2;107,284;7;1
K. CHANDHOK;21;8;109,134;1586,008;2;108,679;7;2
K. CHANDHOK;21;9;102,299;1688,307;2;101,935;7;3
K. CHANDHOK;21;10;101,395;1789,702;2;101,122;7;4
K. CHANDHOK;21;11;112,678;1902,38;2;112,496;7;5
K. CHANDHOK;21;12;108,879;2011,259;2;108,788;7;6
K. CHANDHOK;21;13;116,248;2127,507;2;116,248;7;7
K. CHANDHOK;21;15;101,569;2893,242;3;101,296;4;1
K. CHANDHOK;21;16;97,303;2990,545;3;97,121;4;2
K. CHANDHOK;21;17;97,248;3087,793;3;97,157;4;3
K. CHANDHOK;21;18;115,608;3203,401;3;115,608;4;4
K. CHANDHOK;21;20;104,035;4025,987;4;102,943;13;1
K. CHANDHOK;21;21;102,429;4128,416;4;101,428;13;2
K. CHANDHOK;21;22;103,433;4231,849;4;102,523;13;3
K. CHANDHOK;21;23;103,446;4335,295;4;102,627;13;4
K. CHANDHOK;21;24;101,203;4436,498;4;100,475;13;5
K. CHANDHOK;21;25;116,749;4553,247;4;116,112;13;6
K. CHANDHOK;21;26;102,494;4655,741;4;101,948;13;7
K. CHANDHOK;21;27;112,478;4768,219;4;112,023;13;8
K. CHANDHOK;21;28;109,846;4878,065;4;109,482;13;9
K. CHANDHOK;21;29;136,569;5014,634;4;136,296;13;10
K. CHANDHOK;21;30;103,999;5118,633;4;103,817;13;11
K. CHANDHOK;21;31;109,898;5228,531;4;109,807;13;12
K. CHANDHOK;21;32;111,328;5339,859;4;111,328;13;13
D. RICCIARDO;22;1;101,864;154,864;1;101,682;3;1
D. RICCIARDO;22;2;100,737;255,601;1;100,646;3;2
D. RICCIARDO;22;3;101,77;357,371;1;101,77;3;3
V. LIUZZI;23;1;103,762;105,762;1;103,307;6;1
V. LIUZZI;23;2;101,552;207,314;1;101,188;6;2
V. LIUZZI;23;3;100,569;307,883;1;100,296;6;3
V. LIUZZI;23;4;109,907;417,79;1;109,725;6;4
V. LIUZZI;23;5;108,799;526,589;1;108,708;6;5
V. LIUZZI;23;6;108,06;634,649;1;108,06;6;6
V. LIUZZI;23;8;99,361;1645,196;2;98,906;6;1
V. LIUZZI;23;9;106,914;1752,11;2;106,55;6;2
V. LIUZZI;23;10;98,944;1851,054;2;98,671;6;3
V. LIUZZI;23;11;109,137;1960,191;2;108,955;6;4
V. LIUZZI;23;12;99,629;2059,82;2;99,538;6;5
V. LIUZZI;23;13;103,846;2163,666;2;103,846;6;6
V. LIUZZI;23;15;98,775;3155,016;3;98,411;5;1
V. LIUZZI;23;16;98,145;3253,161;3;97,872;5;2
V. LIUZZI;23;17;102,639;3355,8;3;102,457;5;3
V. LIUZZI;23;18;98,453;3454,253;3;98,362;5;4
V. LIUZZI;23;19;111,587;3565,84;3;111,587;5;5
V. LIUZZI;23;21;101,813;4471,234;4;100,994;10;1
V. LIUZZI;23;22;101,021;4572,255;4;100,293;10;2
V. LIUZZI;23;23;101,927;4674,182;4;101,29;10;3
V. LIUZZI;23;24;101,831;4776,013;4;101,285;10;4
V. LIUZZI;23;25;100,959;4876,972;4;100,504;10;5
V. LIUZZI;23;26;101,475;4978,447;4;101,111;10;6
V. LIUZZI;23;27;103,39;5081,837;4;103,117;10;7
V. LIUZZI;23;28;101,368;5183,205;4;101,186;10;8
V. LIUZZI;23;29;101,212;5284,417;4;101,121;10;9
V. LIUZZI;23;30;106,23;5390,647;4;106,23;10;10
S. VETTEL;1;1;94,977;380,977;1;94,522;6;1
S. VETTEL;1;2;97,912;478,889;1;97,548;6;2
S. VETTEL;1;3;101,005;579,894;1;100,732;6;3
S. VETTEL;1;4;93,951;673,845;1;93,769;6;4
S. VETTEL;1;5;93,823;767,668;1;93,732;6;5
S. VETTEL;1;6;104,431;872,099;1;104,431;6;6
S. VETTEL;1;8;98,459;1918,6;2;98,095;5;1
S. VETTEL;1;9;94,097;2012,697;2;93,824;5;2
S. VETTEL;1;10;94,606;2107,303;2;94,424;5;3
S. VETTEL;1;11;93,981;2201,284;2;93,89;5;4
S. VETTEL;1;12;99,783;2301,067;2;99,783;5;5
S. VETTEL;1;14;97,799;3493,186;3;97,526;4;1
S. VETTEL;1;15;92,084;3585,27;3;91,902;4;2
S. VETTEL;1;16;115,245;3700,515;3;115,154;4;3
S. VETTEL;1;17;99,402;3799,917;3;99,402;4;4
S. VETTEL;1;19;97,482;4636,092;4;96,754;9;1
S. VETTEL;1;20;108,001;4744,093;4;107,364;9;2
S. VETTEL;1;21;96,888;4840,981;4;96,342;9;3
S. VETTEL;1;22;96,899;4937,88;4;96,444;9;4
S. VETTEL;1;23;97,126;5035,006;4;96,762;9;5
S. VETTEL;1;24;96,657;5131,663;4;96,384;9;6
S. VETTEL;1;25;102,582;5234,245;4;102,4;9;7
S. VETTEL;1;26;97,022;5331,267;4;96,931;9;8
S. VETTEL;1;27;106,07;5437,337;4;106,07;9;9
L. HAMILTON;3;1;104,497;293,497;1;104,224;4;1
L. HAMILTON;3;2;94,393;387,89;1;94,211;4;2
L. HAMILTON;3;3;104,568;492,458;1;104,477;4;3
L. HAMILTON;3;4;105,387;597,845;1;105,387;4;4
L. HAMILTON;3;6;97,286;1610,161;2;97,195;2;1
L. HAMILTON;3;7;102,58;1712,741;2;102,58;2;2
L. HAMILTON;3;10;92,724;2790,342;4;92,542;3;1
L. HAMILTON;3;11;110,707;2901,049;4;110,616;3;2
L. HAMILTON;3;12;101,637;3002,686;4;101,637;3;3
L. HAMILTON;3;14;98,663;4039,303;5;97,48;14;1
L. HAMILTON;3;15;97,654;4136,957;5;96,562;14;2
L. HAMILTON;3;16;97,793;4234,75;5;96,792;14;3
L. HAMILTON;3;17;97,947;4332,697;5;97,037;14;4
L. HAMILTON;3;18;97,421;4430,118;5;96,602;14;5
L. HAMILTON;3;19;97,267;4527,385;5;96,539;14;6
L. HAMILTON;3;20;103,996;4631,381;5;103,359;14;7
L. HAMILTON;3;21;101,13;4732,511;5;100,584;14;8
L. HAMILTON;3;22;97,694;4830,205;5;97,239;14;9
L. HAMILTON;3;23;102,246;4932,451;5;101,882;14;10
L. HAMILTON;3;24;138,522;5070,973;5;138,249;14;11
L. HAMILTON;3;25;97,375;5168,348;5;97,193;14;12
L. HAMILTON;3;26;100,418;5268,766;5;100,327;14;13
L. HAMILTON;3;27;103,353;5372,119;5;103,353;14;14
M. WEBBER;2;1;102,61;450,61;1;102,155;6;1
M. WEBBER;2;2;107,751;558,361;1;107,387;6;2
M. WEBBER;2;3;99,394;657,755;1;99,121;6;3
M. WEBBER;2;4;93,642;751,397;1;93,46;6;4
M. WEBBER;2;5;93,662;845,059;1;93,571;6;5
M. WEBBER;2;6;98,898;943,957;1;98,898;6;6
M. WEBBER;2;8;94,514;1825,981;2;94,059;6;1
M. WEBBER;2;9;94,727;1920,708;2;94,363;6;2
M. WEBBER;2;10;96,695;2017,403;2;96,422;6;3
M. WEBBER;2;11;93,815;2111,218;2;93,633;6;4
M. WEBBER;2;12;93,657;2204,875;2;93,566;6;5
M. WEBBER;2;13;102,388;2307,263;2;102,388;6;6
M. WEBBER;2;15;91,77;3104,345;3;91,497;4;1
M. WEBBER;2;16;104,519;3208,864;3;104,337;4;2
M. WEBBER;2;17;91,711;3300,575;3;91,62;4;3
M. WEBBER;2;18;128,109;3428,684;3;128,109;4;4
M. WEBBER;2;20;98,497;4183,838;4;97,314;14;1
M. WEBBER;2;21;97,538;4281,376;4;96,446;14;2
M. WEBBER;2;22;97,778;4379,154;4;96,777;14;3
M. WEBBER;2;23;97,035;4476,189;4;96,125;14;4
M. WEBBER;2;24;96,853;4573,042;4;96,034;14;5
M. WEBBER;2;25;97,02;4670,062;4;96,292;14;6
M. WEBBER;2;26;96,481;4766,543;4;95,844;14;7
M. WEBBER;2;27;96,442;4862,985;4;95,896;14;8
M. WEBBER;2;28;96,93;4959,915;4;96,475;14;9
M. WEBBER;2;29;96,478;5056,393;4;96,114;14;10
M. WEBBER;2;30;96,64;5153,033;4;96,367;14;11
M. WEBBER;2;31;97,308;5250,341;4;97,126;14;12
M. WEBBER;2;32;96,947;5347,288;4;96,856;14;13
M. WEBBER;2;33;105,291;5452,579;4;105,291;14;14
F. ALONSO;5;1;92,99;293,99;1;92,808;3;1
F. ALONSO;5;2;97,588;391,578;1;97,497;3;2
F. ALONSO;5;3;114,709;506,287;1;114,709;3;3
F. ALONSO;5;6;94,701;1289,817;3;94,155;7;1
F. ALONSO;5;7;93,651;1383,468;3;93,196;7;2
F. ALONSO;5;8;101,84;1485,308;3;101,476;7;3
F. ALONSO;5;9;98,465;1583,773;3;98,192;7;4
F. ALONSO;5;10;93,873;1677,646;3;93,691;7;5
F. ALONSO;5;11;93,201;1770,847;3;93,11;7;6
F. ALONSO;5;12;102,779;1873,626;3;102,779;7;7
F. ALONSO;5;14;98,756;2561,938;4;98,301;6;1
F. ALONSO;5;15;97,738;2659,676;4;97,374;6;2
F. ALONSO;5;16;91,879;2751,555;4;91,606;6;3
F. ALONSO;5;17;103,554;2855,109;4;103,372;6;4
F. ALONSO;5;18;104,584;2959,693;4;104,493;6;5
F. ALONSO;5;19;97,091;3056,784;4;97,091;6;6
F. ALONSO;5;22;137,489;3933,975;6;136,124;16;1
F. ALONSO;5;23;97,472;4031,447;6;96,198;16;2
F. ALONSO;5;24;97,457;4128,904;6;96,274;16;3
F. ALONSO;5;25;97,415;4226,319;6;96,323;16;4
F. ALONSO;5;26;97,189;4323,508;6;96,188;16;5
F. ALONSO;5;27;97,43;4420,938;6;96,52;16;6
F. ALONSO;5;28;98,886;4519,824;6;98,067;16;7
F. ALONSO;5;29;97,512;4617,336;6;96,784;16;8
F. ALONSO;5;30;97,408;4714,744;6;96,771;16;9
F. ALONSO;5;31;102,529;4817,273;6;101,983;16;10
F. ALONSO;5;32;129,717;4946,99;6;129,262;16;11
F. ALONSO;5;33;98,106;5045,096;6;97,742;16;12
F. ALONSO;5;34;102,445;5147,541;6;102,172;16;13
F. ALONSO;5;35;97,965;5245,506;6;97,783;16;14
F. ALONSO;5;36;98,942;5344,448;6;98,851;16;15
F. ALONSO;5;37;106,592;5451,04;6;106,592;16;16
J. BUTTON;4;1;101,377;281,377;1;101,286;2;1
J. BUTTON;4;2;105,846;387,223;1;105,846;2;2
J. BUTTON;4;4;101,652;1235,18;2;101,197;6;1
J. BUTTON;4;5;128,066;1363,246;2;127,702;6;2
J. BUTTON;4;6;101,641;1464,887;2;101,368;6;3
J. BUTTON;4;7;129,777;1594,664;2;129,595;6;4
J. BUTTON;4;8;95,559;1690,223;2;95,468;6;5
J. BUTTON;4;9;109,013;1799,236;2;109,013;6;6
J. BUTTON;4;11;96,895;2973,138;3;96,713;3;1
J. BUTTON;4;12;95,549;3068,687;3;95,458;3;2
J. BUTTON;4;13;105,681;3174,368;3;105,681;3;3
J. BUTTON;4;15;93,225;3682,949;4;93,134;2;1
J. BUTTON;4;16;113,523;3796,472;4;113,523;2;2
M. SCHUMACHER;7;1;98,194;441,194;1;97,739;6;1
M. SCHUMACHER;7;2;102,87;544,064;1;102,506;6;2
M. SCHUMACHER;7;3;98,773;642,837;1;98,5;6;3
M. SCHUMACHER;7;4;97,431;740,268;1;97,249;6;4
M. SCHUMACHER;7;5;97,053;837,321;1;96,962;6;5
M. SCHUMACHER;7;6;103,816;941,137;1;103,816;6;6
M. SCHUMACHER;7;8;97,34;1957,635;2;97,067;4;1
M. SCHUMACHER;7;9;98,924;2056,559;2;98,742;4;2
M. SCHUMACHER;7;10;97,164;2153,723;2;97,073;4;3
M. SCHUMACHER;7;11;106,118;2259,841;2;106,118;4;4
M. SCHUMACHER;7;13;92,411;3014,088;3;92,047;5;1
M. SCHUMACHER;7;14;103,249;3117,337;3;102,976;5;2
M. SCHUMACHER;7;15;92,551;3209,888;3;92,369;5;3
M. SCHUMACHER;7;16;101,257;3311,145;3;101,166;5;4
M. SCHUMACHER;7;17;101,677;3412,822;3;101,677;5;5
M. SCHUMACHER;7;19;98,959;4321,21;4;97,958;12;1
M. SCHUMACHER;7;20;99,234;4420,444;4;98,324;12;2
M. SCHUMACHER;7;21;100,093;4520,537;4;99,274;12;3
M. SCHUMACHER;7;22;113,903;4634,44;4;113,175;12;4
M. SCHUMACHER;7;23;99,245;4733,685;4;98,608;12;5
M. SCHUMACHER;7;24;99,413;4833,098;4;98,867;12;6
M. SCHUMACHER;7;25;98,898;4931,996;4;98,443;12;7
M. SCHUMACHER;7;26;99,137;5031,133;4;98,773;12;8
M. SCHUMACHER;7;27;98,911;5130,044;4;98,638;12;9
M. SCHUMACHER;7;28;99,225;5229,269;4;99,043;12;10
M. SCHUMACHER;7;29;99,426;5328,695;4;99,335;12;11
M. SCHUMACHER;7;30;104,915;5433,61;4;104,915;12;12
F. MASSA;6;1;102,681;229,681;1;102,59;2;1
F. MASSA;6;2;100,704;330,385;1;100,704;2;2
F. MASSA;6;4;97,745;662,759;2;97,29;6;1
F. MASSA;6;5;94,369;757,128;2;94,005;6;2
F. MASSA;6;6;94,137;851,265;2;93,864;6;3
F. MASSA;6;7;98,041;949,306;2;97,859;6;4
F. MASSA;6;8;94,052;1043,358;2;93,961;6;5
F. MASSA;6;9;113,131;1156,489;2;113,131;6;6
F. MASSA;6;12;92,772;1892,568;4;92,499;4;1
F. MASSA;6;13;92,466;1985,034;4;92,284;4;2
F. MASSA;6;14;98,682;2083,716;4;98,591;4;3
F. MASSA;6;15;98,595;2182,311;4;98,595;4;4
F. MASSA;6;17;92,354;2911,503;5;91,99;5;1
F. MASSA;6;18;97,183;3008,686;5;96,91;5;2
F. MASSA;6;19;103,278;3111,964;5;103,096;5;3
F. MASSA;6;20;92,379;3204,343;5;92,288;5;4
F. MASSA;6;21;102,464;3306,807;5;102,464;5;5
F. MASSA;6;24;97,832;4386,397;7;96,831;12;1
F. MASSA;6;25;97,403;4483,8;7;96,493;12;2
F. MASSA;6;26;97,576;4581,376;7;96,757;12;3
F. MASSA;6;27;97,236;4678,612;7;96,508;12;4
F. MASSA;6;28;105,394;4784,006;7;104,757;12;5
F. MASSA;6;29;97,411;4881,417;7;96,865;12;6
F. MASSA;6;30;97,578;4978,995;7;97,123;12;7
F. MASSA;6;31;97,348;5076,343;7;96,984;12;8
F. MASSA;6;32;97,756;5174,099;7;97,483;12;9
F. MASSA;6;33;97,552;5271,651;7;97,37;12;10
F. MASSA;6;34;100,158;5371,809;7;100,067;12;11
F. MASSA;6;35;101,825;5473,634;7;101,825;12;12
N. HEIDFELD;9;1;105,704;300,704;1;105,431;4;1
N. HEIDFELD;9;2;95,267;395,971;1;95,085;4;2
N. HEIDFELD;9;3;109,601;505,572;1;109,51;4;3
N. HEIDFELD;9;4;107,033;612,605;1;107,033;4;4
N. HEIDFELD;9;6;93,905;3497,668;2;93,541;5;1
N. HEIDFELD;9;7;93,682;3591,35;2;93,409;5;2
N. HEIDFELD;9;8;102,304;3693,654;2;102,122;5;3
N. HEIDFELD;9;9;96,614;3790,268;2;96,523;5;4
N. HEIDFELD;9;10;98,836;3889,104;2;98,836;5;5
N. HEIDFELD;9;12;93,098;4885,608;3;92,734;5;1
N. HEIDFELD;9;13;103,948;4989,556;3;103,675;5;2
N. HEIDFELD;9;14;93,628;5083,184;3;93,446;5;3
N. HEIDFELD;9;15;95,119;5178,303;3;95,028;5;4
N. HEIDFELD;9;16;100,28;5278,583;3;100,28;5;5
N. ROSBERG;8;1;98,858;238,858;1;98,312;7;1
N. ROSBERG;8;2;97,954;336,812;1;97,499;7;2
N. ROSBERG;8;3;99,963;436,775;1;99,599;7;3
N. ROSBERG;8;4;111,918;548,693;1;111,645;7;4
N. ROSBERG;8;5;100,467;649,16;1;100,285;7;5
N. ROSBERG;8;6;97,399;746,559;1;97,308;7;6
N. ROSBERG;8;7;113,225;859,784;1;113,225;7;7
N. ROSBERG;8;9;98,603;1768,414;2;98,148;6;1
N. ROSBERG;8;10;97,439;1865,853;2;97,075;6;2
N. ROSBERG;8;11;97,155;1963,008;2;96,882;6;3
N. ROSBERG;8;12;105,107;2068,115;2;104,925;6;4
N. ROSBERG;8;13;97,097;2165,212;2;97,006;6;5
N. ROSBERG;8;14;113,601;2278,813;2;113,601;6;6
N. ROSBERG;8;16;92,557;3363,78;3;92,284;4;1
N. ROSBERG;8;17;107,347;3471,127;3;107,165;4;2
N. ROSBERG;8;18;109,373;3580,5;3;109,282;4;3
N. ROSBERG;8;19;109,506;3690,006;3;109,506;4;4
N. ROSBERG;8;21;103,786;4406,883;4;102,876;11;1
N. ROSBERG;8;22;99,09;4505,973;4;98,271;11;2
N. ROSBERG;8;23;98,926;4604,899;4;98,198;11;3
N. ROSBERG;8;24;98,916;4703,815;4;98,279;11;4
N. ROSBERG;8;25;98,991;4802,806;4;98,445;11;5
N. ROSBERG;8;26;98,959;4901,765;4;98,504;11;6
N. ROSBERG;8;27;98,648;5000,413;4;98,284;11;7
N. ROSBERG;8;28;99,026;5099,439;4;98,753;11;8
N. ROSBERG;8;29;98,658;5198,097;4;98,476;11;9
N. ROSBERG;8;30;98,77;5296,867;4;98,679;11;10
N. ROSBERG;8;31;123,477;5420,344;4;123,477;11;11
R. BARRICHELLO;11;2;102,963;524,441;1;102,599;5;1
R. BARRICHELLO;11;3;102,835;627,276;1;102,562;5;2
R. BARRICHELLO;11;4;105,357;732,633;1;105,175;5;3
R. BARRICHELLO;11;5;97,728;830,361;1;97,637;5;4
R. BARRICHELLO;11;6;105,807;936,168;1;105,807;5;5
R. BARRICHELLO;11;8;99,12;1715,127;2;98,938;3;1
R. BARRICHELLO;11;9;97,386;1812,513;2;97,295;3;2
R. BARRICHELLO;11;10;104,943;1917,456;2;104,943;3;3
R. BARRICHELLO;11;12;101,109;2556,801;3;101,018;2;1
R. BARRICHELLO;11;13;109,54;2666,341;3;109,54;2;2
R. BARRICHELLO;11;15;94,989;3146,804;4;94,716;4;1
R. BARRICHELLO;11;16;102,074;3248,878;4;101,892;4;2
R. BARRICHELLO;11;17;94,344;3343,222;4;94,253;4;3
R. BARRICHELLO;11;18;105,218;3448,44;4;105,218;4;4
R. BARRICHELLO;11;20;134,48;4100,16;5;133,297;14;1
R. BARRICHELLO;11;21;100,107;4200,267;5;99,015;14;2
R. BARRICHELLO;11;22;99,263;4299,53;5;98,262;14;3
R. BARRICHELLO;11;23;102,204;4401,734;5;101,294;14;4
R. BARRICHELLO;11;24;99,477;4501,211;5;98,658;14;5
R. BARRICHELLO;11;25;99,112;4600,323;5;98,384;14;6
R. BARRICHELLO;11;26;105,671;4705,994;5;105,034;14;7
R. BARRICHELLO;11;27;131,945;4837,939;5;131,399;14;8
R. BARRICHELLO;11;28;99,631;4937,57;5;99,176;14;9
R. BARRICHELLO;11;29;105,469;5043,039;5;105,105;14;10
R. BARRICHELLO;11;30;99,751;5142,79;5;99,478;14;11
R. BARRICHELLO;11;31;100,111;5242,901;5;99,929;14;12
R. BARRICHELLO;11;32;99,352;5342,253;5;99,261;14;13
R. BARRICHELLO;11;33;105,912;5448,165;5;105,912;14;14
V. PETROV;10;1;105,754;542,754;1;105,754;1;1
V. PETROV;10;3;94,265;1411,988;2;94,083;3;1
V. PETROV;10;4;93,956;1505,944;2;93,865;3;2
V. PETROV;10;5;98,02;1603,964;2;98,02;3;3
V. PETROV;10;7;98,086;2380,661;3;97,813;4;1
V. PETROV;10;8;93,76;2474,421;3;93,578;4;2
V. PETROV;10;9;94,749;2569,17;3;94,658;4;3
V. PETROV;10;10;98,999;2668,169;3;98,999;4;4
V. PETROV;10;12;93,138;4175,579;4;92,865;4;1
V. PETROV;10;13;101,055;4276,634;4;100,873;4;2
V. PETROV;10;14;93,315;4369,949;4;93,224;4;3
V. PETROV;10;15;99,978;4469,927;4;99,978;4;4
