Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;98,486;106,486;1;98,122;5;1
T. GLOCK;24;2;111,337;217,823;1;111,064;5;2
T. GLOCK;24;3;97,131;314,954;1;96,949;5;3
T. GLOCK;24;4;97,017;411,971;1;96,926;5;4
T. GLOCK;24;5;103,874;515,845;1;103,874;5;5
T. GLOCK;24;7;101,339;867,008;2;100,975;5;1
T. GLOCK;24;8;96,697;963,705;2;96,424;5;2
T. GLOCK;24;9;109,349;1073,054;2;109,167;5;3
T. GLOCK;24;10;96,4;1169,454;2;96,309;5;4
T. GLOCK;24;11;121,198;1290,652;2;121,198;5;5
J. D'AMBROSIO;25;1;101,351;101,351;1;100,987;5;1
J. D'AMBROSIO;25;2;97,942;199,293;1;97,669;5;2
J. D'AMBROSIO;25;3;97,453;296,746;1;97,271;5;3
J. D'AMBROSIO;25;4;97,137;393,883;1;97,046;5;4
J. D'AMBROSIO;25;5;105,922;499,805;1;105,922;5;5
J. D'AMBROSIO;25;7;100,108;870,573;2;99,744;5;1
J. D'AMBROSIO;25;8;96,918;967,491;2;96,645;5;2
J. D'AMBROSIO;25;9;102,686;1070,177;2;102,504;5;3
J. D'AMBROSIO;25;10;96,641;1166,818;2;96,55;5;4
J. D'AMBROSIO;25;11;115,052;1281,87;2;115,052;5;5
H. KOVALAINEN;20;1;101,176;189,176;1;100,812;5;1
H. KOVALAINEN;20;2;95,602;284,778;1;95,329;5;2
H. KOVALAINEN;20;3;106,527;391,305;1;106,345;5;3
H. KOVALAINEN;20;4;95,599;486,904;1;95,508;5;4
H. KOVALAINEN;20;5;103,985;590,889;1;103,985;5;5
H. KOVALAINEN;20;7;99,799;991,524;2;99,708;2;1
H. KOVALAINEN;20;8;114,053;1105,577;2;114,053;2;2
K. CHANDHOK;21;1;103,985;132,985;1;103,712;4;1
K. CHANDHOK;21;2;101,506;234,491;1;101,324;4;2
K. CHANDHOK;21;3;97,355;331,846;1;97,264;4;3
K. CHANDHOK;21;4;103,969;435,815;1;103,969;4;4
K. CHANDHOK;21;6;101,787;862,792;2;101,423;5;1
K. CHANDHOK;21;7;96,971;959,763;2;96,698;5;2
K. CHANDHOK;21;8;96,51;1056,273;2;96,328;5;3
K. CHANDHOK;21;9;96,422;1152,695;2;96,331;5;4
K. CHANDHOK;21;10;122,172;1274,867;2;122,172;5;5
D. RICCIARDO;22;1;104,632;146,632;1;104,268;5;1
D. RICCIARDO;22;2;98,344;244,976;1;98,071;5;2
D. RICCIARDO;22;3;97,743;342,719;1;97,561;5;3
D. RICCIARDO;22;4;97,617;440,336;1;97,526;5;4
D. RICCIARDO;22;5;102,716;543,052;1;102,716;5;5
D. RICCIARDO;22;7;101,913;956,982;2;101,64;4;1
