Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;2;88,785;855,48;1;88,484;5;1
T. GLOCK;24;3;94,435;949,915;1;94,209;5;2
T. GLOCK;24;4;122,844;1072,759;1;122,694;5;3
T. GLOCK;24;5;92,851;1165,61;1;92,776;5;4
T. GLOCK;24;6;96,559;1262,169;1;96,559;5;5
T. GLOCK;24;8;88,764;2161,42;2;88,689;2;1
T. GLOCK;24;9;93,388;2254,808;2;93,388;2;2
T. GLOCK;24;11;93,82;2890,086;3;93,82;1;1
T. GLOCK;24;13;93,158;3379,344;4;93,008;3;1
T. GLOCK;24;14;87,174;3466,518;4;87,099;3;2
T. GLOCK;24;15;103,054;3569,572;4;103,054;3;3
J. D'AMBROSIO;25;2;92,884;621,45;1;92,583;5;1
J. D'AMBROSIO;25;3;90,634;712,084;1;90,408;5;2
J. D'AMBROSIO;25;4;89,567;801,651;1;89,416;5;3
J. D'AMBROSIO;25;5;89,054;890,705;1;88,979;5;4
J. D'AMBROSIO;25;6;98,898;989,603;1;98,898;5;5
J. D'AMBROSIO;25;8;89,782;1745,691;2;89,331;7;1
J. D'AMBROSIO;25;9;89,313;1835,004;2;88,937;7;2
J. D'AMBROSIO;25;10;89,289;1924,293;2;88,988;7;3
J. D'AMBROSIO;25;11;89,234;2013,527;2;89,008;7;4
J. D'AMBROSIO;25;12;92,978;2106,505;2;92,828;7;5
J. D'AMBROSIO;25;13;89,312;2195,817;2;89,237;7;6
J. D'AMBROSIO;25;14;97,813;2293,63;2;97,813;7;7
J. D'AMBROSIO;25;16;86,955;2963,101;3;86,729;4;1
J. D'AMBROSIO;25;17;92,822;3055,923;3;92,672;4;2
J. D'AMBROSIO;25;18;87,696;3143,619;3;87,621;4;3
J. D'AMBROSIO;25;19;91,765;3235,384;3;91,765;4;4
H. KOVALAINEN;20;2;87,952;778,254;1;87,501;7;1
H. KOVALAINEN;20;3;90,565;868,819;1;90,189;7;2
H. KOVALAINEN;20;4;86,704;955,523;1;86,403;7;3
H. KOVALAINEN;20;5;91,252;1046,775;1;91,026;7;4
H. KOVALAINEN;20;6;88,94;1135,715;1;88,79;7;5
H. KOVALAINEN;20;7;87,179;1222,894;1;87,104;7;6
H. KOVALAINEN;20;8;92,702;1315,596;1;92,702;7;7
H. KOVALAINEN;20;10;88,767;2108,407;2;88,391;6;1
H. KOVALAINEN;20;11;87,676;2196,083;2;87,375;6;2
H. KOVALAINEN;20;12;90,794;2286,877;2;90,568;6;3
H. KOVALAINEN;20;13;87,331;2374,208;2;87,181;6;4
H. KOVALAINEN;20;14;87,137;2461,345;2;87,062;6;5
H. KOVALAINEN;20;15;94,983;2556,328;2;94,983;6;6
H. KOVALAINEN;20;17;85,501;3198,143;3;85,351;3;1
H. KOVALAINEN;20;18;98,151;3296,294;3;98,076;3;2
H. KOVALAINEN;20;19;102,79;3399,084;3;102,79;3;3
J. TRULLI;21;2;87,709;772,828;1;87,408;5;1
J. TRULLI;21;3;87,008;859,836;1;86,782;5;2
J. TRULLI;21;4;92,008;951,844;1;91,858;5;3
J. TRULLI;21;5;86,629;1038,473;1;86,554;5;4
J. TRULLI;21;6;97,009;1135,482;1;97,009;5;5
J. TRULLI;21;8;88,743;1778,951;2;88,517;4;1
J. TRULLI;21;9;92,204;1871,155;2;92,053;4;2
J. TRULLI;21;10;91,5;1962,655;2;91,425;4;3
J. TRULLI;21;11;97,088;2059,743;2;97,088;4;4
J. TRULLI;21;13;85,141;2943,839;3;84,915;4;1
J. TRULLI;21;14;97,733;3041,572;3;97,583;4;2
