Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;87,186;246,186;1;86,96;4;1
T. GLOCK;24;2;96,624;342,81;1;96,474;4;2
T. GLOCK;24;3;86,812;429,622;1;86,737;4;3
T. GLOCK;24;4;95,693;525,315;1;95,693;4;4
T. GLOCK;24;6;86,294;941,512;2;86,068;4;1
T. GLOCK;24;7;92,897;1034,409;2;92,747;4;2
T. GLOCK;24;8;86,349;1120,758;2;86,274;4;3
T. GLOCK;24;9;95,659;1216,417;2;95,659;4;4
J. D'AMBROSIO;25;1;87,503;230,503;1;87,353;3;1
J. D'AMBROSIO;25;2;87,113;317,616;1;87,038;3;2
J. D'AMBROSIO;25;3;93,777;411,393;1;93,777;3;3
J. D'AMBROSIO;25;5;86,744;1002,169;2;86,594;3;1
J. D'AMBROSIO;25;6;86,51;1088,679;2;86,435;3;2
J. D'AMBROSIO;25;7;96,186;1184,865;2;96,186;3;3
H. KOVALAINEN;20;1;87,155;367,155;1;86,929;4;1
H. KOVALAINEN;20;2;90,047;457,202;1;89,897;4;2
H. KOVALAINEN;20;3;86,205;543,407;1;86,13;4;3
H. KOVALAINEN;20;4;91,53;634,937;1;91,53;4;4
H. KOVALAINEN;20;6;84,362;1077,871;2;84,287;2;1
H. KOVALAINEN;20;7;97,119;1174,99;2;97,119;2;2
J. TRULLI;21;1;88,82;474,82;1;88,669;3;1
J. TRULLI;21;2;85,605;560,425;1;85,53;3;2
J. TRULLI;21;3;89,661;650,086;1;89,661;3;3
J. TRULLI;21;5;84,534;1107,161;2;84,459;2;1
J. TRULLI;21;6;98,29;1205,451;2;98,29;2;2
D. RICCIARDO;22;1;88,055;88,055;1;87,679;6;1
D. RICCIARDO;22;2;91,424;179,479;1;91,123;6;2
D. RICCIARDO;22;3;129,477;308,956;1;129,251;6;3
D. RICCIARDO;22;4;87,206;396,162;1;87,056;6;4
D. RICCIARDO;22;5;86,942;483,104;1;86,867;6;5
D. RICCIARDO;22;6;92,465;575,569;1;92,465;6;6
D. RICCIARDO;22;8;86,824;1006,47;2;86,674;3;1
D. RICCIARDO;22;9;86,479;1092,949;2;86,404;3;2
D. RICCIARDO;22;10;109,232;1202,181;2;109,232;3;3
V. LIUZZI;23;1;87,85;94,85;1;87,775;2;1
V. LIUZZI;23;2;100,321;195,171;1;100,321;2;2
V. LIUZZI;23;4;94,144;421,112;2;93,994;3;1
V. LIUZZI;23;5;87,258;508,37;2;87,183;3;2
V. LIUZZI;23;6;93,912;602,282;2;93,912;3;3
V. LIUZZI;23;8;86,323;1039,994;3;86,172;3;1
V. LIUZZI;23;9;87,176;1127,17;3;87,101;3;2
V. LIUZZI;23;10;105,903;1233,073;3;105,903;3;3
S. VETTEL;1;1;82,387;236,387;1;82,161;4;1
S. VETTEL;1;2;89,084;325,471;1;88,934;4;2
S. VETTEL;1;3;81,74;407,211;1;81,665;4;3
S. VETTEL;1;4;95,841;503,052;1;95,841;4;4
S. VETTEL;1;6;81,095;1801,327;2;81,02;2;1
S. VETTEL;1;7;95,875;1897,202;2;95,875;2;2
S. VETTEL;1;9;80,045;3182,82;3;79,97;2;1
S. VETTEL;1;10;94,547;3277,367;3;94,547;2;2
S. VETTEL;1;12;79,815;3525,575;4;79,74;2;1
S. VETTEL;1;13;108,085;3633,66;4;108,085;2;2
L. HAMILTON;3;1;81,636;292,636;1;81,561;2;1
L. HAMILTON;3;2;89,672;382,308;1;89,672;2;2
L. HAMILTON;3;4;81,105;1856,198;2;81,03;2;1
L. HAMILTON;3;5;86,928;1943,126;2;86,928;2;2
L. HAMILTON;3;7;79,978;3144,235;3;79,903;2;1
L. HAMILTON;3;8;93,191;3237,426;3;93,191;2;2
L. HAMILTON;3;10;80,11;3539,59;4;80,035;2;1
L. HAMILTON;3;11;103,045;3642,635;4;103,045;2;2
M. WEBBER;2;1;83,237;257,237;1;82,861;6;1
M. WEBBER;2;2;88,162;345,399;1;87,861;6;2
M. WEBBER;2;3;91,382;436,781;1;91,156;6;3
M. WEBBER;2;4;82,963;519,744;1;82,812;6;4
M. WEBBER;2;5;82,208;601,952;1;82,133;6;5
M. WEBBER;2;6;90,148;692,1;1;90,148;6;6
M. WEBBER;2;8;80,89;1865,638;2;80,815;2;1
M. WEBBER;2;9;102,397;1968,035;2;102,397;2;2
M. WEBBER;2;11;80,768;3201,041;3;80,693;2;1
M. WEBBER;2;12;97,317;3298,358;3;97,317;2;2
M. WEBBER;2;14;80,474;3556,599;4;80,399;2;1
M. WEBBER;2;15;108,358;3664,957;4;108,358;2;2
F. ALONSO;5;1;85,694;452,694;1;85,393;5;1
F. ALONSO;5;2;82,111;534,805;1;81,885;5;2
F. ALONSO;5;3;94,608;629,413;1;94,458;5;3
F. ALONSO;5;4;81,578;710,991;1;81,503;5;4
F. ALONSO;5;5;95,91;806,901;1;95,91;5;5
F. ALONSO;5;7;80,262;1951,235;2;80,187;2;1
F. ALONSO;5;8;99,155;2050,39;2;99,155;2;2
F. ALONSO;5;10;80,365;3120,628;3;80,29;2;1
F. ALONSO;5;11;96,481;3217,109;3;96,481;2;2
F. ALONSO;5;13;80,501;3512,656;4;80,426;2;1
F. ALONSO;5;14;104,804;3617,46;4;104,804;2;2
J. BUTTON;4;1;82,697;286,697;1;82,396;5;1
J. BUTTON;4;2;82,363;369,06;1;82,137;5;2
J. BUTTON;4;3;101,168;470,228;1;101,018;5;3
J. BUTTON;4;4;82,038;552,266;1;81,963;5;4
J. BUTTON;4;5;95,43;647,696;1;95,43;5;5
J. BUTTON;4;7;80,578;1895,426;2;80,503;2;1
J. BUTTON;4;8;112,284;2007,71;2;112,284;2;2
J. BUTTON;4;10;80,463;3156,835;3;80,388;2;1
J. BUTTON;4;11;100,589;3257,424;3;100,589;2;2
J. BUTTON;4;13;80,024;3553,199;4;79,949;2;1
J. BUTTON;4;14;108,777;3661,976;4;108,777;2;2
M. SCHUMACHER;7;1;89,436;288,436;1;89,135;5;1
M. SCHUMACHER;7;2;83,024;371,46;1;82,798;5;2
M. SCHUMACHER;7;3;94,836;466,296;1;94,686;5;3
M. SCHUMACHER;7;4;82,876;549,172;1;82,801;5;4
M. SCHUMACHER;7;5;93,826;642,998;1;93,826;5;5
M. SCHUMACHER;7;7;88,323;1028,609;2;88,323;1;1
M. SCHUMACHER;7;9;82,39;2016,465;3;82,315;2;1
M. SCHUMACHER;7;10;97,367;2113,832;3;97,367;2;2
M. SCHUMACHER;7;12;81,852;2450,36;4;81,777;2;1
M. SCHUMACHER;7;13;98,679;2549,039;4;98,679;2;2
M. SCHUMACHER;7;15;81,907;3532,226;5;81,832;2;1
M. SCHUMACHER;7;16;103,451;3635,677;5;103,451;2;2
F. MASSA;6;1;82,576;437,576;1;82,275;5;1
F. MASSA;6;2;82,305;519,881;1;82,079;5;2
F. MASSA;6;3;89,594;609,475;1;89,444;5;3
F. MASSA;6;4;82,13;691,605;1;82,055;5;4
F. MASSA;6;5;87,778;779,383;1;87,778;5;5
F. MASSA;6;7;81,099;1991,322;2;81,024;2;1
F. MASSA;6;8;95,922;2087,244;2;95,922;2;2
F. MASSA;6;10;80,555;3166,763;3;80,48;2;1
F. MASSA;6;11;94,097;3260,86;3;94,097;2;2
F. MASSA;6;13;80,35;3560,434;4;80,275;2;1
F. MASSA;6;14;105,908;3666,342;4;105,908;2;2
N. HEIDFELD;9;1;84,542;307,542;1;84,316;4;1
N. HEIDFELD;9;2;87,203;394,745;1;87,053;4;2
N. HEIDFELD;9;3;84,447;479,192;1;84,372;4;3
N. HEIDFELD;9;4;89,657;568,849;1;89,657;4;4
N. HEIDFELD;9;6;83,024;961,552;2;82,949;2;1
N. HEIDFELD;9;7;100,208;1061,76;2;100,208;2;2
N. HEIDFELD;9;9;82,702;1988,322;3;82,627;2;1
N. HEIDFELD;9;10;89,967;2078,289;3;89,967;2;2
N. HEIDFELD;9;12;82,47;2429,341;4;82,395;2;1
N. HEIDFELD;9;13;97,505;2526,846;4;97,505;2;2
N. ROSBERG;8;1;87,97;304,97;1;87,82;3;1
N. ROSBERG;8;2;82,996;387,966;1;82,921;3;2
N. ROSBERG;8;3;100,281;488,247;1;100,281;3;3
N. ROSBERG;8;5;86,638;981,234;2;86,638;1;1
N. ROSBERG;8;7;81,243;1861,92;3;81,168;2;1
N. ROSBERG;8;8;102,496;1964,416;3;102,496;2;2
N. ROSBERG;8;10;81,098;3519,714;4;81,023;2;1
N. ROSBERG;8;11;111,833;3631,547;4;111,833;2;2
R. BARRICHELLO;11;1;87,787;363,787;1;87,486;5;1
R. BARRICHELLO;11;2;83,977;447,764;1;83,751;5;2
R. BARRICHELLO;11;3;94,203;541,967;1;94,053;5;3
R. BARRICHELLO;11;4;83,771;625,738;1;83,696;5;4
R. BARRICHELLO;11;5;92,636;718,374;1;92,636;5;5
R. BARRICHELLO;11;7;83,075;1071,153;2;83;2;1
R. BARRICHELLO;11;8;93,553;1164,706;2;93,553;2;2
R. BARRICHELLO;11;10;91,154;1847,304;3;91,004;3;1
R. BARRICHELLO;11;11;83,593;1930,897;3;83,518;3;2
R. BARRICHELLO;11;12;97,292;2028,189;3;97,292;3;3
R. BARRICHELLO;11;14;82,684;2381,484;4;82,609;2;1
R. BARRICHELLO;11;15;92,464;2473,948;4;92,464;2;2
V. PETROV;10;1;89,377;254,377;1;89,151;4;1
V. PETROV;10;2;83,9;338,277;1;83,75;4;2
V. PETROV;10;3;83,725;422,002;1;83,65;4;3
V. PETROV;10;4;87,995;509,997;1;87,995;4;4
V. PETROV;10;6;83,07;936,164;2;82,995;2;1
V. PETROV;10;7;93,477;1029,641;2;93,477;2;2
V. PETROV;10;9;82,284;2000,606;3;82,209;2;1
V. PETROV;10;10;88,796;2089,402;3;88,796;2;2
V. PETROV;10;12;82,393;2446,26;4;82,318;2;1
V. PETROV;10;13;102,037;2548,297;4;102,037;2;2
P. MALDONADO;12;1;84,288;346,288;1;84,062;4;1
P. MALDONADO;12;2;99,375;445,663;1;99,225;4;2
P. MALDONADO;12;3;91,381;537,044;1;91,306;4;3
P. MALDONADO;12;4;86,804;623,848;1;86,804;4;4
P. MALDONADO;12;6;87,826;1056,283;2;87,675;3;1
P. MALDONADO;12;7;83,847;1140,13;2;83,772;3;2
P. MALDONADO;12;8;99,066;1239,196;2;99,066;3;3
P. DI RESTA;15;1;87,681;244,681;1;87,531;3;1
P. DI RESTA;15;2;83,636;328,317;1;83,561;3;2
P. DI RESTA;15;3;91,938;420,255;1;91,938;3;3
P. DI RESTA;15;5;82,976;924,607;2;82,901;2;1
P. DI RESTA;15;6;94,038;1018,645;2;94,038;2;2
P. DI RESTA;15;8;83,476;1792,003;3;83,401;2;1
P. DI RESTA;15;9;91,305;1883,308;3;91,305;2;2
P. DI RESTA;15;11;82,256;2418,602;4;82,181;2;1
P. DI RESTA;15;12;99,876;2518,478;4;99,876;2;2
A. SUTIL;14;1;88,406;256,406;1;88,105;5;1
A. SUTIL;14;2;84,455;340,861;1;84,229;5;2
A. SUTIL;14;3;83,824;424,685;1;83,674;5;3
A. SUTIL;14;4;86,437;511,122;1;86,362;5;4
A. SUTIL;14;5;88,64;599,762;1;88,64;5;5
A. SUTIL;14;7;82,237;970,777;2;82,162;2;1
A. SUTIL;14;8;93,078;1063,855;2;93,078;2;2
A. SUTIL;14;10;83,54;1828,301;3;83,465;2;1
A. SUTIL;14;11;88,281;1916,582;3;88,281;2;2
A. SUTIL;14;13;82;2396,194;4;81,925;2;1
A. SUTIL;14;14;91,215;2487,409;4;91,215;2;2
A. SUTIL;14;17;81,445;3549,165;6;81,37;2;1
A. SUTIL;14;18;101,518;3650,683;6;101,518;2;2
S. PEREZ;17;1;84,428;348,428;1;84,278;3;1
S. PEREZ;17;2;93,499;441,927;1;93,424;3;2
S. PEREZ;17;3;88,782;530,709;1;88,782;3;3
S. PEREZ;17;5;83,067;954,585;2;82,916;3;1
S. PEREZ;17;6;92,077;1046,662;2;92,002;3;2
S. PEREZ;17;7;94,768;1141,43;2;94,768;3;3
S. PEREZ;17;9;82,911;1822,85;3;82,836;2;1
S. PEREZ;17;10;100,787;1923,637;3;100,787;2;2
S. PEREZ;17;12;82,157;2262,821;4;82,007;3;1
S. PEREZ;17;13;94,571;2357,392;4;94,496;3;2
S. PEREZ;17;14;87,087;2444,479;4;87,087;3;3
K. KOBAYASHI;16;1;84,411;312,411;1;84,185;4;1
K. KOBAYASHI;16;2;92,804;405,215;1;92,654;4;2
K. KOBAYASHI;16;3;83,929;489,144;1;83,854;4;3
K. KOBAYASHI;16;4;89,611;578,755;1;89,611;4;4
K. KOBAYASHI;16;6;83,615;931,618;2;83,389;4;1
K. KOBAYASHI;16;7;95,322;1026,94;2;95,172;4;2
K. KOBAYASHI;16;8;83,278;1110,218;2;83,203;4;3
K. KOBAYASHI;16;9;105,484;1215,702;2;105,484;4;4
K. KOBAYASHI;16;11;83,01;1935,973;3;82,935;2;1
K. KOBAYASHI;16;12;93,444;2029,417;3;93,444;2;2
K. KOBAYASHI;16;14;82,435;2457,233;4;82,36;2;1
K. KOBAYASHI;16;15;107,199;2564,432;4;107,199;2;2
J. ALGUERSUARI;19;1;84,126;376,126;1;83,976;3;1
J. ALGUERSUARI;19;2;83,868;459,994;1;83,793;3;2
J. ALGUERSUARI;19;3;87,723;547,717;1;87,723;3;3
J. ALGUERSUARI;19;5;83,285;966,73;2;83,21;2;1
J. ALGUERSUARI;19;6;94,474;1061,204;2;94,474;2;2
J. ALGUERSUARI;19;8;82,979;2009,677;3;82,904;2;1
J. ALGUERSUARI;19;9;103,635;2113,312;3;103,635;2;2
S. BUEMI;18;1;84,873;298,873;1;84,647;4;1
S. BUEMI;18;2;92,961;391,834;1;92,811;4;2
S. BUEMI;18;3;84,664;476,498;1;84,589;4;3
S. BUEMI;18;4;90,24;566,738;1;90,24;4;4
S. BUEMI;18;6;84,474;983,584;2;84,324;3;1
S. BUEMI;18;7;84,07;1067,654;2;83,995;3;2
S. BUEMI;18;8;89,085;1156,739;2;89,085;3;3
