Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;2;139,883;2194,153;1;139,673;3;1
T. GLOCK;24;3;139,495;2333,648;1;139,39;3;2
T. GLOCK;24;4;149,463;2483,111;1;149,463;3;3
T. GLOCK;24;6;138,039;3396,041;2;137,724;4;1
T. GLOCK;24;7;168,849;3564,89;2;168,639;4;2
T. GLOCK;24;8;145,673;3710,563;2;145,568;4;3
T. GLOCK;24;9;169,122;3879,685;2;169,122;4;4
J. D'AMBROSIO;25;2;142,997;2200,336;1;142,577;5;1
J. D'AMBROSIO;25;3;141,13;2341,466;1;140,815;5;2
J. D'AMBROSIO;25;4;146,61;2488,076;1;146,4;5;3
J. D'AMBROSIO;25;5;138,7;2626,776;1;138,595;5;4
J. D'AMBROSIO;25;6;151,435;2778,211;1;151,435;5;5
J. D'AMBROSIO;25;8;138,435;3362,269;2;138,12;4;1
J. D'AMBROSIO;25;9;137,159;3499,428;2;136,949;4;2
J. D'AMBROSIO;25;10;158,745;3658,173;2;158,64;4;3
J. D'AMBROSIO;25;11;177,809;3835,982;2;177,809;4;4
H. KOVALAINEN;20;2;141,957;1907,889;1;141,327;7;1
H. KOVALAINEN;20;3;141,097;2048,986;1;140,572;7;2
H. KOVALAINEN;20;4;140,151;2189,137;1;139,731;7;3
H. KOVALAINEN;20;5;137,858;2326,995;1;137,543;7;4
H. KOVALAINEN;20;6;136,435;2463,43;1;136,225;7;5
H. KOVALAINEN;20;7;135,513;2598,943;1;135,408;7;6
H. KOVALAINEN;20;8;144,088;2743,031;1;144,088;7;7
H. KOVALAINEN;20;10;134,399;3216,063;2;133,979;5;1
H. KOVALAINEN;20;11;134,131;3350,194;2;133,816;5;2
H. KOVALAINEN;20;12;133,036;3483,23;2;132,826;5;3
H. KOVALAINEN;20;13;159,038;3642,268;2;158,933;5;4
H. KOVALAINEN;20;14;168,863;3811,131;2;168,863;5;5
J. TRULLI;21;2;137,291;1923,629;1;137,081;3;1
J. TRULLI;21;3;139,483;2063,112;1;139,378;3;2
J. TRULLI;21;4;148,833;2211,945;1;148,833;3;3
J. TRULLI;21;6;136,325;3097,268;2;135,905;5;1
J. TRULLI;21;7;135,634;3232,902;2;135,319;5;2
J. TRULLI;21;8;134,89;3367,792;2;134,68;5;3
J. TRULLI;21;9;134,682;3502,474;2;134,577;5;4
J. TRULLI;21;10;163,429;3665,903;2;163,429;5;5
D. RICCIARDO;22;2;149,406;2196,583;1;148,986;5;1
D. RICCIARDO;22;3;142,36;2338,943;1;142,045;5;2
D. RICCIARDO;22;4;141,244;2480,187;1;141,034;5;3
D. RICCIARDO;22;5;140,478;2620,665;1;140,373;5;4
D. RICCIARDO;22;6;147,623;2768,288;1;147,623;5;5
D. RICCIARDO;22;8;140,134;3306,883;2;139,819;4;1
D. RICCIARDO;22;9;139,001;3445,884;2;138,791;4;2
D. RICCIARDO;22;10;149,813;3595,697;2;149,708;4;3
D. RICCIARDO;22;11;171,856;3767,553;2;171,856;4;4
V. LIUZZI;23;2;144,252;2100,012;1;143,937;4;1
V. LIUZZI;23;3;142,487;2242,499;1;142,277;4;2
V. LIUZZI;23;4;141,196;2383,695;1;141,091;4;3
V. LIUZZI;23;5;160,167;2543,862;1;160,167;4;4
V. LIUZZI;23;7;141,086;2968,05;2;140,456;7;1
V. LIUZZI;23;8;140,138;3108,188;2;139,613;7;2
V. LIUZZI;23;9;146,27;3254,458;2;145,85;7;3
V. LIUZZI;23;10;139,597;3394,055;2;139,282;7;4
V. LIUZZI;23;11;139,825;3533,88;2;139,615;7;5
V. LIUZZI;23;12;152,711;3686,591;2;152,606;7;6
V. LIUZZI;23;13;178,053;3864,644;2;178,053;7;7
S. VETTEL;1;2;135,082;1739,888;1;134,977;2;1
S. VETTEL;1;3;153,641;1893,529;1;153,641;2;2
S. VETTEL;1;5;169,328;2853,432;2;169,013;4;1
S. VETTEL;1;6;130,726;2984,158;2;130,516;4;2
S. VETTEL;1;7;130,402;3114,56;2;130,297;4;3
S. VETTEL;1;8;138,588;3253,148;2;138,588;4;4
L. HAMILTON;3;2;132,401;3067,076;1;131,876;6;1
L. HAMILTON;3;3;130,545;3197,621;1;130,125;6;2
L. HAMILTON;3;4;136,608;3334,229;1;136,293;6;3
L. HAMILTON;3;5;129,046;3463,275;1;128,836;6;4
L. HAMILTON;3;6;165,838;3629,113;1;165,733;6;5
L. HAMILTON;3;7;170,397;3799,51;1;170,397;6;6
M. WEBBER;2;2;134,143;1894,786;1;134,038;2;1
M. WEBBER;2;3;151,898;2046,684;1;151,898;2;2
M. WEBBER;2;5;128,988;3057,219;2;128,883;2;1
M. WEBBER;2;6;147,144;3204,363;2;147,144;2;2
J. BUTTON;4;2;130,257;2978,583;1;130,152;2;1
J. BUTTON;4;3;152,32;3130,903;1;152,32;2;2
J. BUTTON;4;5;143,501;3669,614;2;143,396;2;1
J. BUTTON;4;6;181,355;3850,969;2;181,355;2;2
M. SCHUMACHER;7;2;133,199;2571,283;1;132,779;5;1
M. SCHUMACHER;7;3;132,984;2704,267;1;132,669;5;2
M. SCHUMACHER;7;4;131,667;2835,934;1;131,457;5;3
M. SCHUMACHER;7;5;132,274;2968,208;1;132,169;5;4
M. SCHUMACHER;7;6;139,862;3108,07;1;139,862;5;5
M. SCHUMACHER;7;8;150,38;3662,486;2;150,275;2;1
M. SCHUMACHER;7;9;183,555;3846,041;2;183,555;2;2
F. MASSA;6;2;159,02;2268,369;1;158,915;2;1
F. MASSA;6;3;142,725;2411,094;1;142,725;2;2
F. MASSA;6;5;142,454;3357,214;2;142,454;1;1
B. SENNA;9;2;135,567;1970,119;1;135,252;4;1
B. SENNA;9;3;136,67;2106,789;1;136,46;4;2
B. SENNA;9;4;142,698;2249,487;1;142,593;4;3
B. SENNA;9;5;141,212;2390,699;1;141,212;4;4
B. SENNA;9;7;136,54;2924,255;2;135,91;7;1
B. SENNA;9;8;132,179;3056,434;2;131,654;7;2
B. SENNA;9;9;138,073;3194,507;2;137,653;7;3
B. SENNA;9;10;131,664;3326,171;2;131,349;7;4
B. SENNA;9;11;135,321;3461,492;2;135,111;7;5
B. SENNA;9;12;159,824;3621,316;2;159,719;7;6
B. SENNA;9;13;185,282;3806,598;2;185,282;7;7
N. ROSBERG;8;2;138,339;2070,11;1;138,129;3;1
N. ROSBERG;8;3;140,771;2210,881;1;140,666;3;2
N. ROSBERG;8;4;157,247;2368,128;1;157,247;3;3
N. ROSBERG;8;6;166,077;2898,474;2;166,077;1;1
N. ROSBERG;8;8;130,837;3375,501;3;130,522;4;1
