Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;139,948;153,948;1;139,213;8;1
T. GLOCK;24;2;136,348;290,296;1;135,718;8;2
T. GLOCK;24;3;135,439;425,735;1;134,914;8;3
T. GLOCK;24;4;134,197;559,932;1;133,777;8;4
T. GLOCK;24;5;140,051;699,983;1;139,736;8;5
T. GLOCK;24;6;155,199;855,182;1;154,989;8;6
T. GLOCK;24;7;129,566;984,748;1;129,461;8;7
T. GLOCK;24;8;157,123;1141,871;1;157,123;8;8
J. D'AMBROSIO;25;1;139,578;156,578;1;138,843;8;1
J. D'AMBROSIO;25;2;135,693;292,271;1;135,063;8;2
J. D'AMBROSIO;25;3;140,011;432,282;1;139,486;8;3
J. D'AMBROSIO;25;4;133,974;566,256;1;133,554;8;4
J. D'AMBROSIO;25;5;140,698;706,954;1;140,383;8;5
J. D'AMBROSIO;25;6;131,601;838,555;1;131,391;8;6
J. D'AMBROSIO;25;7;138,612;977,167;1;138,507;8;7
J. D'AMBROSIO;25;8;147,207;1124,374;1;147,207;8;8
H. KOVALAINEN;20;1;138,487;221,487;1;138,067;5;1
H. KOVALAINEN;20;2;130,727;352,214;1;130,412;5;2
H. KOVALAINEN;20;3;139,6;491,814;1;139,39;5;3
H. KOVALAINEN;20;4;127,893;619,707;1;127,788;5;4
H. KOVALAINEN;20;5;137,323;757,03;1;137,323;5;5
H. KOVALAINEN;20;7;126,78;1138,693;2;126,675;2;1
H. KOVALAINEN;20;8;142,951;1281,644;2;142,951;2;2
H. KOVALAINEN;20;11;131,413;2613,41;4;131,203;3;1
H. KOVALAINEN;20;12;128,354;2741,764;4;128,249;3;2
H. KOVALAINEN;20;13;148,869;2890,633;4;148,869;3;3
J. TRULLI;21;1;137,13;197,13;1;136,71;5;1
J. TRULLI;21;2;132,835;329,965;1;132,52;5;2
J. TRULLI;21;3;130,633;460,598;1;130,423;5;3
J. TRULLI;21;4;128,773;589,371;1;128,668;5;4
J. TRULLI;21;5;139,187;728,558;1;139,187;5;5
D. RICCIARDO;22;1;140,812;165,812;1;140,077;8;1
D. RICCIARDO;22;2;137,496;303,308;1;136,866;8;2
D. RICCIARDO;22;3;138,238;441,546;1;137,713;8;3
D. RICCIARDO;22;4;137,671;579,217;1;137,251;8;4
D. RICCIARDO;22;5;135,892;715,109;1;135,577;8;5
D. RICCIARDO;22;6;133,101;848,21;1;132,891;8;6
D. RICCIARDO;22;7;133,077;981,287;1;132,972;8;7
D. RICCIARDO;22;8;153,68;1134,967;1;153,68;8;8
V. LIUZZI;23;1;145,32;164,32;1;144,585;8;1
V. LIUZZI;23;2;137,878;302,198;1;137,248;8;2
V. LIUZZI;23;3;136,569;438,767;1;136,044;8;3
V. LIUZZI;23;4;134,874;573,641;1;134,454;8;4
V. LIUZZI;23;5;140,931;714,572;1;140,616;8;5
V. LIUZZI;23;6;133,182;847,754;1;132,972;8;6
V. LIUZZI;23;7;131,616;979,37;1;131,511;8;7
V. LIUZZI;23;8;160,376;1139,746;1;160,376;8;8
S. VETTEL;1;1;138,45;187,45;1;137,715;8;1
S. VETTEL;1;2;127,723;315,173;1;127,093;8;2
S. VETTEL;1;3;131,152;446,325;1;130,627;8;3
S. VETTEL;1;4;126,595;572,92;1;126,175;8;4
S. VETTEL;1;5;125,743;698,663;1;125,428;8;5
S. VETTEL;1;6;123,029;821,692;1;122,819;8;6
S. VETTEL;1;7;125,734;947,426;1;125,629;8;7
S. VETTEL;1;8;140,068;1087,494;1;140,068;8;8
S. VETTEL;1;10;127,085;1810,54;2;126,98;2;1
S. VETTEL;1;11;133,118;1943,658;2;133,118;2;2
S. VETTEL;1;13;123,317;2634,483;3;123,212;2;1
S. VETTEL;1;14;132,75;2767,233;3;132,75;2;2
S. VETTEL;1;16;114,767;3532,593;4;114,452;4;1
S. VETTEL;1;17;111,239;3643,832;4;111,029;4;2
S. VETTEL;1;18;109,18;3753,012;4;109,075;4;3
S. VETTEL;1;19;108,298;3861,31;4;108,298;4;4
L. HAMILTON;3;1;129,506;173,506;1;128,876;7;1
L. HAMILTON;3;2;139,024;312,53;1;138,499;7;2
L. HAMILTON;3;3;157,651;470,181;1;157,231;7;3
L. HAMILTON;3;4;124,24;594,421;1;123,925;7;4
L. HAMILTON;3;5;123,008;717,429;1;122,798;7;5
L. HAMILTON;3;6;129,318;846,747;1;129,213;7;6
L. HAMILTON;3;7;128,302;975,049;1;128,302;7;7
L. HAMILTON;3;9;127,737;1788,79;2;127,632;2;1
L. HAMILTON;3;10;128,711;1917,501;2;128,711;2;2
L. HAMILTON;3;12;132,665;2621,081;3;132,455;3;1
L. HAMILTON;3;13;122,823;2743,904;3;122,718;3;2
L. HAMILTON;3;14;158,929;2902,833;3;158,929;3;3
L. HAMILTON;3;16;111,338;3638,014;4;111,128;3;1
L. HAMILTON;3;17;109,467;3747,481;4;109,362;3;2
L. HAMILTON;3;18;108,73;3856,211;4;108,73;3;3
M. WEBBER;2;1;137,597;194,597;1;136,862;8;1
M. WEBBER;2;2;126,872;321,469;1;126,242;8;2
M. WEBBER;2;3;135,845;457,314;1;135,32;8;3
M. WEBBER;2;4;124,481;581,795;1;124,061;8;4
M. WEBBER;2;5;131,63;713,425;1;131,315;8;5
M. WEBBER;2;6;130,467;843,892;1;130,257;8;6
M. WEBBER;2;7;122,827;966,719;1;122,722;8;7
M. WEBBER;2;8;142,234;1108,953;1;142,234;8;8
M. WEBBER;2;10;127,569;1792,217;2;127,464;2;1
M. WEBBER;2;11;126,644;1918,861;2;126,644;2;2
M. WEBBER;2;13;124,542;2627,544;3;124,332;3;1
M. WEBBER;2;14;123,302;2750,846;3;123,197;3;2
M. WEBBER;2;15;136,989;2887,835;3;136,989;3;3
M. WEBBER;2;17;113,798;3510,597;4;113,378;5;1
M. WEBBER;2;18;110,875;3621,472;4;110,56;5;2
M. WEBBER;2;19;109,376;3730,848;4;109,166;5;3
M. WEBBER;2;20;109,473;3840,321;4;109,368;5;4
M. WEBBER;2;21;146,903;3987,224;4;146,903;5;5
F. ALONSO;5;1;129,99;199,99;1;129,465;6;1
F. ALONSO;5;2;146,888;346,878;1;146,468;6;2
F. ALONSO;5;3;127,762;474,64;1;127,447;6;3
F. ALONSO;5;4;137,243;611,883;1;137,033;6;4
F. ALONSO;5;5;124,45;736,333;1;124,345;6;5
F. ALONSO;5;6;140,564;876,897;1;140,564;6;6
F. ALONSO;5;8;129,208;1772,916;2;129,103;2;1
