Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;91,879;139,879;1;91,711;4;1
T. GLOCK;24;2;91,203;231,082;1;91,091;4;2
T. GLOCK;24;3;90,797;321,879;1;90,741;4;3
T. GLOCK;24;4;100,999;422,878;1;100,999;4;4
T. GLOCK;24;7;92,618;2014,861;3;92,394;5;1
T. GLOCK;24;8;91,348;2106,209;3;91,18;5;2
T. GLOCK;24;9;90,789;2196,998;3;90,677;5;3
T. GLOCK;24;10;90,966;2287,964;3;90,91;5;4
T. GLOCK;24;11;102,834;2390,798;3;102,834;5;5
T. GLOCK;24;13;91,287;3400,6;4;91,063;5;1
T. GLOCK;24;14;92,781;3493,381;4;92,613;5;2
T. GLOCK;24;15;93,936;3587,317;4;93,824;5;3
T. GLOCK;24;16;90,651;3677,968;4;90,595;5;4
T. GLOCK;24;17;104,416;3782,384;4;104,416;5;5
T. GLOCK;24;19;94,05;4950,84;5;93,77;6;1
T. GLOCK;24;20;88,804;5039,644;5;88,58;6;2
T. GLOCK;24;21;92,675;5132,319;5;92,507;6;3
T. GLOCK;24;22;91,245;5223,564;5;91,133;6;4
T. GLOCK;24;23;89,208;5312,772;5;89,152;6;5
T. GLOCK;24;24;109,363;5422,135;5;109,363;6;6
J. D'AMBROSIO;25;2;92,685;586,345;1;92,237;9;1
J. D'AMBROSIO;25;3;91,86;678,205;1;91,468;9;2
J. D'AMBROSIO;25;4;96,147;774,352;1;95,811;9;3
J. D'AMBROSIO;25;5;93,758;868,11;1;93,478;9;4
J. D'AMBROSIO;25;6;91,869;959,979;1;91,645;9;5
J. D'AMBROSIO;25;7;97,042;1057,021;1;96,874;9;6
J. D'AMBROSIO;25;8;91,735;1148,756;1;91,623;9;7
J. D'AMBROSIO;25;9;91,306;1240,062;1;91,25;9;8
J. D'AMBROSIO;25;10;101,345;1341,407;1;101,345;9;9
J. D'AMBROSIO;25;12;94,545;2433,691;2;94,097;9;1
J. D'AMBROSIO;25;13;91,945;2525,636;2;91,553;9;2
J. D'AMBROSIO;25;14;91,929;2617,565;2;91,593;9;3
J. D'AMBROSIO;25;15;91,311;2708,876;2;91,031;9;4
J. D'AMBROSIO;25;16;105,736;2814,612;2;105,512;9;5
J. D'AMBROSIO;25;17;132,167;2946,779;2;131,999;9;6
J. D'AMBROSIO;25;18;91,955;3038,734;2;91,843;9;7
J. D'AMBROSIO;25;19;91,917;3130,651;2;91,861;9;8
J. D'AMBROSIO;25;20;102,977;3233,628;2;102,977;9;9
J. D'AMBROSIO;25;22;89,622;4031,607;3;89,398;5;1
J. D'AMBROSIO;25;23;94,535;4126,142;3;94,367;5;2
J. D'AMBROSIO;25;24;90,05;4216,192;3;89,938;5;3
J. D'AMBROSIO;25;25;89,812;4306,004;3;89,756;5;4
J. D'AMBROSIO;25;26;103,804;4409,808;3;103,804;5;5
J. D'AMBROSIO;25;28;93,362;4985,941;4;93,082;6;1
J. D'AMBROSIO;25;29;92,872;5078,813;4;92,648;6;2
J. D'AMBROSIO;25;30;92,683;5171,496;4;92,515;6;3
J. D'AMBROSIO;25;31;93,176;5264,672;4;93,064;6;4
J. D'AMBROSIO;25;32;92,602;5357,274;4;92,546;6;5
J. D'AMBROSIO;25;33;118,763;5476,037;4;118,763;6;6
H. KOVALAINEN;20;1;91,746;98,746;1;91,41;7;1
H. KOVALAINEN;20;2;97,856;196,602;1;97,576;7;2
H. KOVALAINEN;20;3;91,936;288,538;1;91,712;7;3
H. KOVALAINEN;20;4;91,433;379,971;1;91,265;7;4
H. KOVALAINEN;20;5;93,034;473,005;1;92,922;7;5
H. KOVALAINEN;20;6;91,209;564,214;1;91,153;7;6
H. KOVALAINEN;20;7;103,099;667,313;1;103,099;7;7
H. KOVALAINEN;20;9;97,221;1841,822;2;96,717;10;1
H. KOVALAINEN;20;10;92,317;1934,139;2;91,869;10;2
H. KOVALAINEN;20;11;91,236;2025,375;2;90,844;10;3
H. KOVALAINEN;20;12;91,699;2117,074;2;91,363;10;4
H. KOVALAINEN;20;13;91,238;2208,312;2;90,958;10;5
H. KOVALAINEN;20;14;91,259;2299,571;2;91,035;10;6
H. KOVALAINEN;20;15;90,997;2390,568;2;90,829;10;7
H. KOVALAINEN;20;16;91,35;2481,918;2;91,238;10;8
H. KOVALAINEN;20;17;90,791;2572,709;2;90,735;10;9
H. KOVALAINEN;20;18;102,626;2675,335;2;102,626;10;10
