Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;88,466;109,466;1;88,354;3;1
T. GLOCK;24;2;87,591;197,057;1;87,535;3;2
T. GLOCK;24;3;101,804;298,861;1;101,804;3;3
T. GLOCK;24;5;89,027;818,448;2;88,859;4;1
T. GLOCK;24;6;87,718;906,166;2;87,606;4;2
T. GLOCK;24;7;87,874;994,04;2;87,818;4;3
T. GLOCK;24;8;107,592;1101,632;2;107,592;4;4
J. D'AMBROSIO;25;1;94,991;128,991;1;94,767;5;1
J. D'AMBROSIO;25;2;87,959;216,95;1;87,791;5;2
J. D'AMBROSIO;25;3;93,516;310,466;1;93,404;5;3
J. D'AMBROSIO;25;4;87,736;398,202;1;87,68;5;4
J. D'AMBROSIO;25;5;99,173;497,375;1;99,173;5;5
J. D'AMBROSIO;25;7;88,748;858,682;2;88,58;4;1
J. D'AMBROSIO;25;8;87,609;946,291;2;87,497;4;2
J. D'AMBROSIO;25;9;87,861;1034,152;2;87,805;4;3
J. D'AMBROSIO;25;10;101,319;1135,471;2;101,319;4;4
H. KOVALAINEN;20;1;91,286;123,286;1;91,062;5;1
H. KOVALAINEN;20;2;88,365;211,651;1;88,197;5;2
H. KOVALAINEN;20;3;97,842;309,493;1;97,73;5;3
H. KOVALAINEN;20;4;87,296;396,789;1;87,24;5;4
H. KOVALAINEN;20;5;102,047;498,836;1;102,047;5;5
H. KOVALAINEN;20;7;88,102;829,386;2;87,822;6;1
H. KOVALAINEN;20;8;87,388;916,774;2;87,164;6;2
H. KOVALAINEN;20;9;87,743;1004,517;2;87,575;6;3
H. KOVALAINEN;20;10;91,217;1095,734;2;91,105;6;4
H. KOVALAINEN;20;11;87,184;1182,918;2;87,128;6;5
H. KOVALAINEN;20;12;102,997;1285,915;2;102,997;6;6
J. TRULLI;21;1;93,967;93,967;1;93,743;5;1
J. TRULLI;21;2;87,996;181,963;1;87,828;5;2
J. TRULLI;21;3;87,372;269,335;1;87,26;5;3
J. TRULLI;21;4;87,029;356,364;1;86,973;5;4
J. TRULLI;21;5;99,669;456,033;1;99,669;5;5
J. TRULLI;21;7;89,559;902,375;2;89,335;5;1
J. TRULLI;21;8;87,029;989,404;2;86,861;5;2
J. TRULLI;21;9;86,647;1076,051;2;86,535;5;3
J. TRULLI;21;10;86,707;1162,758;2;86,651;5;4
J. TRULLI;21;11;118,977;1281,735;2;118,977;5;5
D. RICCIARDO;22;1;90,666;125,666;1;90,442;5;1
D. RICCIARDO;22;2;88,551;214,217;1;88,383;5;2
D. RICCIARDO;22;3;88,337;302,554;1;88,225;5;3
D. RICCIARDO;22;4;88,465;391,019;1;88,409;5;4
D. RICCIARDO;22;5;95,711;486,73;1;95,711;5;5
D. RICCIARDO;22;7;101,196;894,61;2;100,972;5;1
D. RICCIARDO;22;8;88,943;983,553;2;88,775;5;2
D. RICCIARDO;22;9;88,054;1071,607;2;87,942;5;3
D. RICCIARDO;22;10;92,02;1163,627;2;91,964;5;4
D. RICCIARDO;22;11;126,551;1290,178;2;126,551;5;5
V. LIUZZI;23;1;91,84;124,84;1;91,672;4;1
V. LIUZZI;23;2;88,691;213,531;1;88,579;4;2
V. LIUZZI;23;3;88,253;301,784;1;88,197;4;3
V. LIUZZI;23;4;101,094;402,878;1;101,094;4;4
V. LIUZZI;23;6;92,926;893,456;2;92,702;5;1
V. LIUZZI;23;7;88,231;981,687;2;88,063;5;2
V. LIUZZI;23;8;92,547;1074,234;2;92,435;5;3
V. LIUZZI;23;9;88,391;1162,625;2;88,335;5;4
V. LIUZZI;23;10;115,785;1278,41;2;115,785;5;5
S. VETTEL;1;1;85,027;290,027;1;84,915;3;1
S. VETTEL;1;2;84,002;374,029;1;83,946;3;2
S. VETTEL;1;3;91,88;465,909;1;91,88;3;3
S. VETTEL;1;5;83,105;1816,959;2;82,993;3;1
S. VETTEL;1;6;82,914;1899,873;2;82,858;3;2
S. VETTEL;1;7;101,982;2001,855;2;101,982;3;3
S. VETTEL;1;9;82,613;3134,234;3;82,501;3;1
S. VETTEL;1;10;84,743;3218,977;3;84,687;3;2
S. VETTEL;1;11;97,681;3316,658;3;97,681;3;3
S. VETTEL;1;13;82,275;3567,978;4;82,275;1;1
L. HAMILTON;3;1;84,476;359,476;1;84,308;4;1
L. HAMILTON;3;2;93,206;452,682;1;93,094;4;2
L. HAMILTON;3;3;83,976;536,658;1;83,92;4;3
L. HAMILTON;3;4;95,34;631,998;1;95,34;4;4
L. HAMILTON;3;6;83,74;1876,273;2;83,684;2;1
L. HAMILTON;3;7;93,084;1969,357;2;93,084;2;2
L. HAMILTON;3;9;83,172;2385,613;3;83,116;2;1
