Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;2;120,943;1152,238;1;120,787;3;1
T. GLOCK;24;3;119,486;1271,724;1;119,408;3;2
T. GLOCK;24;4;118,792;1390,516;1;118,792;3;3
J. D'AMBROSIO;25;2;124,36;849,98;1;124,048;5;1
J. D'AMBROSIO;25;3;121,941;971,921;1;121,707;5;2
J. D'AMBROSIO;25;4;119,96;1091,881;1;119,804;5;3
J. D'AMBROSIO;25;5;118,775;1210,656;1;118,697;5;4
J. D'AMBROSIO;25;6;135,267;1345,923;1;135,267;5;5
J. D'AMBROSIO;25;9;117,798;3536,133;3;117,72;2;1
J. D'AMBROSIO;25;10;139,425;3675,558;3;139,425;2;2
H. KOVALAINEN;20;2;118,192;859,16;1;117,88;5;1
H. KOVALAINEN;20;3;116,198;975,358;1;115,964;5;2
H. KOVALAINEN;20;4;120,546;1095,904;1;120,39;5;3
H. KOVALAINEN;20;5;121,289;1217,193;1;121,211;5;4
H. KOVALAINEN;20;6;126,162;1343,355;1;126,162;5;5
J. TRULLI;21;2;117,377;2011,105;1;116,987;6;1
J. TRULLI;21;3;115,601;2126,706;1;115,289;6;2
J. TRULLI;21;4;116,771;2243,477;1;116,537;6;3
J. TRULLI;21;5;125,573;2369,05;1;125,417;6;4
J. TRULLI;21;6;114,821;2483,871;1;114,743;6;5
J. TRULLI;21;7;141,975;2625,846;1;141,975;6;6
D. RICCIARDO;22;2;127,847;1037,128;1;127,613;4;1
D. RICCIARDO;22;3;125,33;1162,458;1;125,174;4;2
D. RICCIARDO;22;4;123,771;1286,229;1;123,693;4;3
D. RICCIARDO;22;5;124,397;1410,626;1;124,397;4;4
D. RICCIARDO;22;7;121,018;2434,431;2;120,706;5;1
D. RICCIARDO;22;8;122,116;2556,547;2;121,882;5;2
D. RICCIARDO;22;9;119,871;2676,418;2;119,715;5;3
D. RICCIARDO;22;10;119,906;2796,324;2;119,828;5;4
D. RICCIARDO;22;11;119,622;2915,946;2;119,622;5;5
D. RICCIARDO;22;13;119,169;3524,664;3;119,091;2;1
D. RICCIARDO;22;14;143,447;3668,111;3;143,447;2;2
N. KARTHIKEYAN;23;2;126,952;948,496;1;126,64;5;1
N. KARTHIKEYAN;23;3;123,502;1071,998;1;123,268;5;2
N. KARTHIKEYAN;23;4;120,09;1192,088;1;119,934;5;3
N. KARTHIKEYAN;23;5;119,214;1311,302;1;119,136;5;4
N. KARTHIKEYAN;23;6;126,462;1437,764;1;126,462;5;5
