Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;112,829;236,829;1;112,673;3;1
T. GLOCK;24;2;125,446;362,275;1;125,368;3;2
T. GLOCK;24;3;123,49;485,765;1;123,49;3;3
T. GLOCK;24;5;112,154;1090,997;2;112,076;2;1
T. GLOCK;24;6;138,942;1229,939;2;138,942;2;2
J. D'AMBROSIO;25;1;113,577;263,577;1;113,499;2;1
J. D'AMBROSIO;25;2;133,245;396,822;1;133,245;2;2
J. D'AMBROSIO;25;4;112,363;1095,819;2;112,285;2;1
J. D'AMBROSIO;25;5;136,4;1232,219;2;136,4;2;2
H. KOVALAINEN;20;1;110,948;401,948;1;110,87;2;1
H. KOVALAINEN;20;2;129,23;531,178;1;129,23;2;2
H. KOVALAINEN;20;4;111,114;1085,177;2;111,036;2;1
H. KOVALAINEN;20;5;135,82;1220,997;2;135,82;2;2
J. TRULLI;21;1;111,514;439,514;1;111,436;2;1
J. TRULLI;21;2;125,059;564,573;1;125,059;2;2
J. TRULLI;21;4;111,012;1041,533;2;110,934;2;1
J. TRULLI;21;5;147,688;1189,221;2;147,688;2;2
D. RICCIARDO;22;1;112,617;513,617;1;112,539;2;1
D. RICCIARDO;22;2;129,673;643,29;1;129,673;2;2
D. RICCIARDO;22;4;112,404;1110,267;2;112,404;1;1
V. LIUZZI;23;1;112,81;297,81;1;112,732;2;1
V. LIUZZI;23;2;137,008;434,818;1;137,008;2;2
V. LIUZZI;23;4;112,921;1082,192;2;112,843;2;1
V. LIUZZI;23;5;151,768;1233,96;2;151,768;2;2
S. VETTEL;1;1;107,137;181,137;1;106,981;3;1
S. VETTEL;1;2;106,397;287,534;1;106,319;3;2
S. VETTEL;1;3;141,568;429,102;1;141,568;3;3
S. VETTEL;1;5;104,931;1790,646;2;104,931;1;1
S. VETTEL;1;7;104,381;3465,226;3;104,303;2;1
S. VETTEL;1;8;130,261;3595,487;3;130,261;2;2
L. HAMILTON;3;1;107,014;206,014;1;106,858;3;1
L. HAMILTON;3;2;119,448;325,462;1;119,37;3;2
L. HAMILTON;3;3;118,557;444,019;1;118,557;3;3
L. HAMILTON;3;5;106,829;1737,043;2;106,829;1;1
L. HAMILTON;3;9;104,809;3444,974;5;104,731;2;1
L. HAMILTON;3;10;125,751;3570,725;5;125,751;2;2
M. WEBBER;2;1;108,118;196,118;1;107,884;4;1
M. WEBBER;2;2;116,983;313,101;1;116,827;4;2
M. WEBBER;2;3;107,332;420,433;1;107,254;4;3
M. WEBBER;2;4;129,412;549,845;1;129,412;4;4
M. WEBBER;2;6;105,651;1752,779;2;105,651;1;1
M. WEBBER;2;8;105,378;3453,539;3;105,3;2;1
M. WEBBER;2;9;128,404;3581,943;3;128,404;2;2
M. WEBBER;2;11;104,732;3876,04;4;104,732;1;1
F. ALONSO;5;1;126,676;256,676;1;126,52;3;1
F. ALONSO;5;2;107,054;363,73;1;106,976;3;2
F. ALONSO;5;3;134,679;498,409;1;134,679;3;3
F. ALONSO;5;5;105,779;1802,675;2;105,779;1;1
F. ALONSO;5;7;105,518;3442,196;3;105,44;2;1
F. ALONSO;5;8;126,61;3568,806;3;126,61;2;2
F. ALONSO;5;10;104,874;3890,023;4;104,874;1;1
J. BUTTON;4;1;106,993;214,993;1;106,759;4;1
J. BUTTON;4;2;134,271;349,264;1;134,115;4;2
J. BUTTON;4;3;106,956;456,22;1;106,878;4;3
J. BUTTON;4;4;133,229;589,449;1;133,229;4;4
