Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;2;114,245;1121,464;1;114,081;3;1
T. GLOCK;24;3;99,833;1221,297;1;99,751;3;2
T. GLOCK;24;4;99,809;1321,106;1;99,809;3;3
T. GLOCK;24;6;103,623;2404,13;2;103,541;2;1
T. GLOCK;24;7;107,027;2511,157;2;107,027;2;2
T. GLOCK;24;9;98,138;3239,78;3;97,729;6;1
T. GLOCK;24;10;98,033;3337,813;3;97,705;6;2
T. GLOCK;24;11;114,61;3452,423;3;114,364;6;3
T. GLOCK;24;12;98,011;3550,434;3;97,847;6;4
T. GLOCK;24;13;130,512;3680,946;3;130,43;6;5
T. GLOCK;24;14;146,806;3827,752;3;146,806;6;6
J. D'AMBROSIO;25;2;101,11;840,327;1;100,782;5;1
J. D'AMBROSIO;25;3;114,156;954,483;1;113,91;5;2
J. D'AMBROSIO;25;4;101,154;1055,637;1;100,99;5;3
J. D'AMBROSIO;25;5;100,73;1156,367;1;100,648;5;4
J. D'AMBROSIO;25;6;111,566;1267,933;1;111,566;5;5
J. D'AMBROSIO;25;8;100,25;2261,757;2;100,004;4;1
J. D'AMBROSIO;25;9;105,159;2366,916;2;104,995;4;2
J. D'AMBROSIO;25;10;100,645;2467,561;2;100,563;4;3
J. D'AMBROSIO;25;11;109,576;2577,137;2;109,576;4;4
J. D'AMBROSIO;25;13;97,938;3219,244;3;97,692;4;1
J. D'AMBROSIO;25;14;115,342;3334,586;3;115,178;4;2
J. D'AMBROSIO;25;15;98,538;3433,124;3;98,456;4;3
J. D'AMBROSIO;25;16;118,634;3551,758;3;118,634;4;4
H. KOVALAINEN;20;2;99,918;2323,162;1;99,509;6;1
H. KOVALAINEN;20;3;106,178;2429,34;1;105,85;6;2
H. KOVALAINEN;20;4;98,493;2527,833;1;98,247;6;3
H. KOVALAINEN;20;5;101,916;2629,749;1;101,752;6;4
H. KOVALAINEN;20;6;98,529;2728,278;1;98,447;6;5
H. KOVALAINEN;20;7;105,479;2833,757;1;105,479;6;6
H. KOVALAINEN;20;9;102,387;3292,268;2;102,059;5;1
H. KOVALAINEN;20;10;96,912;3389,18;2;96,666;5;2
H. KOVALAINEN;20;11;100,979;3490,159;2;100,815;5;3
H. KOVALAINEN;20;12;129,656;3619,815;2;129,574;5;4
H. KOVALAINEN;20;13;137,625;3757,44;2;137,625;5;5
J. TRULLI;21;2;105,267;2070,185;1;104,858;6;1
J. TRULLI;21;3;103,209;2173,394;1;102,881;6;2
J. TRULLI;21;4;98,823;2272,217;1;98,577;6;3
J. TRULLI;21;5;98,556;2370,773;1;98,392;6;4
J. TRULLI;21;6;98,095;2468,868;1;98,013;6;5
J. TRULLI;21;7;114,333;2583,201;1;114,333;6;6
J. TRULLI;21;9;96,37;3207,499;2;96,042;5;1
J. TRULLI;21;10;108,987;3316,486;2;108,741;5;2
J. TRULLI;21;11;96,327;3412,813;2;96,163;5;3
J. TRULLI;21;12;96,703;3509,516;2;96,621;5;4
J. TRULLI;21;13;121,756;3631,272;2;121,756;5;5
D. RICCIARDO;22;2;103,56;923,814;1;103,232;5;1
D. RICCIARDO;22;3;102,756;1026,57;1;102,51;5;2
D. RICCIARDO;22;4;101,187;1127,757;1;101,023;5;3
D. RICCIARDO;22;5;106,713;1234,47;1;106,631;5;4
D. RICCIARDO;22;6;100,699;1335,169;1;100,699;5;5
D. RICCIARDO;22;8;100,092;2541,888;2;99,928;3;1
D. RICCIARDO;22;9;99,591;2641,479;2;99,509;3;2
D. RICCIARDO;22;10;103,254;2744,733;2;103,254;3;3
D. RICCIARDO;22;12;98,355;3231,172;3;98,027;5;1
D. RICCIARDO;22;13;105,821;3336,993;3;105,575;5;2
D. RICCIARDO;22;14;98,497;3435,49;3;98,333;5;3
D. RICCIARDO;22;15;104,912;3540,402;3;104,83;5;4
D. RICCIARDO;22;16;121,193;3661,595;3;121,193;5;5
V. LIUZZI;23;2;102,496;876,471;1;102,168;5;1
V. LIUZZI;23;3;101,42;977,891;1;101,174;5;2
V. LIUZZI;23;4;101,097;1078,988;1;100,933;5;3
V. LIUZZI;23;5;101,325;1180,313;1;101,243;5;4
V. LIUZZI;23;6;111,716;1292,029;1;111,716;5;5
S. VETTEL;1;2;97,114;1118,869;1;96,95;3;1
S. VETTEL;1;3;93,987;1212,856;1;93,905;3;2
S. VETTEL;1;4;94,015;1306,871;1;94,015;3;3
S. VETTEL;1;6;106,383;2093,727;2;105,974;6;1
S. VETTEL;1;7;93,936;2187,663;2;93,608;6;2
S. VETTEL;1;8;96,672;2284,335;2;96,426;6;3
S. VETTEL;1;9;98,709;2383,044;2;98,545;6;4
S. VETTEL;1;10;93,756;2476,8;2;93,674;6;5
S. VETTEL;1;11;110,538;2587,338;2;110,538;6;6
S. VETTEL;1;13;92,122;3456,539;3;91,958;3;1
S. VETTEL;1;14;97,176;3553,715;3;97,094;3;2
S. VETTEL;1;15;130,904;3684,619;3;130,904;3;3
L. HAMILTON;3;2;100,75;1173,935;1;100,668;2;1
L. HAMILTON;3;3;102,725;1276,66;1;102,725;2;2
L. HAMILTON;3;5;94,62;2134,483;2;94,374;4;1
L. HAMILTON;3;6;93,414;2227,897;2;93,25;4;2
L. HAMILTON;3;7;103,167;2331,064;2;103,085;4;3
L. HAMILTON;3;8;100,172;2431,236;2;100,172;4;4
L. HAMILTON;3;10;91,762;3178,255;3;91,434;5;1
L. HAMILTON;3;11;105,107;3283,362;3;104,861;5;2
L. HAMILTON;3;12;100,797;3384,159;3;100,633;5;3
L. HAMILTON;3;13;111,386;3495,545;3;111,304;5;4
L. HAMILTON;3;14;118,415;3613,96;3;118,415;5;5
M. WEBBER;2;2;97,76;2123,311;1;97,269;7;1
M. WEBBER;2;3;93,689;2217;1;93,279;7;2
M. WEBBER;2;4;105,239;2322,239;1;104,911;7;3
M. WEBBER;2;5;93,273;2415,512;1;93,027;7;4
M. WEBBER;2;6;104,342;2519,854;1;104,178;7;5
M. WEBBER;2;7;92,792;2612,646;1;92,71;7;6
M. WEBBER;2;8;104,691;2717,337;1;104,691;7;7
M. WEBBER;2;10;96,603;3463,14;2;96,439;3;1
M. WEBBER;2;11;92,401;3555,541;2;92,319;3;2
M. WEBBER;2;12;121,094;3676,635;2;121,094;3;3
F. ALONSO;5;2;106,575;2087,71;1;106,166;6;1
F. ALONSO;5;3;93,346;2181,056;1;93,018;6;2
F. ALONSO;5;4;104,984;2286,04;1;104,738;6;3
F. ALONSO;5;5;100,981;2387,021;1;100,817;6;4
F. ALONSO;5;6;93,069;2480,09;1;92,987;6;5
F. ALONSO;5;7;103,794;2583,884;1;103,794;6;6
F. ALONSO;5;9;92,279;3222,931;2;91,951;5;1
F. ALONSO;5;10;109,132;3332,063;2;108,886;5;2
F. ALONSO;5;11;98,073;3430,136;2;97,909;5;3
F. ALONSO;5;12;100,075;3530,211;2;99,993;5;4
F. ALONSO;5;13;113,839;3644,05;2;113,839;5;5
J. BUTTON;4;2;93,493;991,042;1;93,247;4;1
J. BUTTON;4;3;114,035;1105,077;1;113,871;4;2
J. BUTTON;4;4;93,044;1198,121;1;92,962;4;3
J. BUTTON;4;5;117,298;1315,419;1;117,298;4;4
J. BUTTON;4;7;99,379;2155,483;2;99,215;3;1
J. BUTTON;4;8;93,259;2248,742;2;93,177;3;2
J. BUTTON;4;9;107,843;2356,585;2;107,843;3;3
J. BUTTON;4;11;91,255;2796,156;3;91,173;2;1
J. BUTTON;4;12;107,491;2903,647;3;107,491;2;2
M. SCHUMACHER;7;2;94,405;1028,899;1;94,241;3;1
M. SCHUMACHER;7;3;109,447;1138,346;1;109,365;3;2
M. SCHUMACHER;7;4;94,365;1232,711;1;94,365;3;3
M. SCHUMACHER;7;7;101,852;2459,19;3;101,688;3;1
M. SCHUMACHER;7;8;92,725;2551,915;3;92,643;3;2
