Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;97,417;265,417;1;97,253;3;1
T. GLOCK;24;2;123,149;388,566;1;123,067;3;2
T. GLOCK;24;3;108,699;497,265;1;108,699;3;3
T. GLOCK;24;5;96,507;1140,731;2;96,425;2;1
T. GLOCK;24;6;111,584;1252,315;2;111,584;2;2
J. D'AMBROSIO;25;1;97,879;245,879;1;97,633;4;1
J. D'AMBROSIO;25;2;111,54;357,419;1;111,376;4;2
J. D'AMBROSIO;25;3;97,767;455,186;1;97,685;4;3
J. D'AMBROSIO;25;4;107,233;562,419;1;107,233;4;4
J. D'AMBROSIO;25;6;96,439;1162,423;2;96,357;2;1
J. D'AMBROSIO;25;7;105,752;1268,175;2;105,752;2;2
H. KOVALAINEN;20;1;95,454;629,454;1;95,372;2;1
H. KOVALAINEN;20;2;106,517;735,971;1;106,517;2;2
J. TRULLI;21;1;96,571;96,571;1;96,489;2;1
J. TRULLI;21;2;108,301;204,872;1;108,301;2;2
J. TRULLI;21;4;95,514;668,593;2;95,432;2;1
J. TRULLI;21;5;108,098;776,691;2;108,098;2;2
D. RICCIARDO;22;1;98,061;401,061;1;97,979;2;1
D. RICCIARDO;22;2;107,266;508,327;1;107,266;2;2
D. RICCIARDO;22;4;97,846;1018,674;2;97,682;3;1
D. RICCIARDO;22;5;97,996;1116,67;2;97,914;3;2
D. RICCIARDO;22;6;132,616;1249,286;2;132,616;3;3
S. VETTEL;1;1;93,051;253,051;1;92,805;4;1
S. VETTEL;1;2;102,253;355,304;1;102,089;4;2
S. VETTEL;1;3;93,367;448,671;1;93,285;4;3
S. VETTEL;1;4;106,471;555,142;1;106,471;4;4
S. VETTEL;1;6;91,424;1780,127;2;91,342;2;1
S. VETTEL;1;7;119,651;1899,778;2;119,651;2;2
S. VETTEL;1;9;90,825;3180,82;3;90,743;2;1
S. VETTEL;1;10;113,058;3293,878;3;113,058;2;2
S. VETTEL;1;12;90,466;3566,007;4;90,384;2;1
S. VETTEL;1;13;129,498;3695,505;4;129,498;2;2
L. HAMILTON;3;1;97,575;296,575;1;97,247;5;1
L. HAMILTON;3;2;93,414;389,989;1;93,168;5;2
L. HAMILTON;3;3;99,852;489,841;1;99,688;5;3
L. HAMILTON;3;4;92,843;582,684;1;92,761;5;4
L. HAMILTON;3;5;100,385;683,069;1;100,385;5;5
L. HAMILTON;3;7;91,139;1839,303;2;91,057;2;1
L. HAMILTON;3;8;110,863;1950,166;2;110,863;2;2
L. HAMILTON;3;10;90,617;3160,714;3;90,535;2;1
L. HAMILTON;3;11;109,073;3269,787;3;109,073;2;2
L. HAMILTON;3;13;130,38;3624,509;4;130,38;1;1
M. WEBBER;2;1;93,135;269,135;1;92,889;4;1
M. WEBBER;2;2;117,614;386,749;1;117,45;4;2
M. WEBBER;2;3;124,055;510,804;1;123,973;4;3
M. WEBBER;2;4;109,826;620,63;1;109,826;4;4
M. WEBBER;2;6;91,576;1808,51;2;91,494;2;1
M. WEBBER;2;7;118,363;1926,873;2;118,363;2;2
M. WEBBER;2;9;91,156;3202,803;3;91,074;2;1
M. WEBBER;2;10;108,477;3311,28;3;108,477;2;2
M. WEBBER;2;12;91,176;3582,472;4;91,094;2;1
M. WEBBER;2;13;126,655;3709,127;4;126,655;2;2
F. ALONSO;5;1;92,817;320,817;1;92,571;4;1
F. ALONSO;5;2;106,954;427,771;1;106,79;4;2
F. ALONSO;5;3;93,199;520,97;1;93,117;4;3
F. ALONSO;5;4;101,544;622,514;1;101,544;4;4
