Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;120,854;293,854;1;119,954;11;1
T. GLOCK;24;2;120,078;413,932;1;119,268;11;2
T. GLOCK;24;3;121,776;535,708;1;121,056;11;3
T. GLOCK;24;4;119,751;655,459;1;119,121;11;4
T. GLOCK;24;5;128,373;783,832;1;127,833;11;5
T. GLOCK;24;6;158,583;942,415;1;158,133;11;6
T. GLOCK;24;7;120,36;1062,775;1;120;11;7
T. GLOCK;24;8;132,95;1195,725;1;132,68;11;8
T. GLOCK;24;9;155,89;1351,615;1;155,71;11;9
T. GLOCK;24;10;119,297;1470,912;1;119,207;11;10
T. GLOCK;24;11;128,225;1599,137;1;128,225;11;11
T. GLOCK;24;13;118,863;3379,311;2;118,683;3;1
T. GLOCK;24;14;131,516;3510,827;2;131,426;3;2
T. GLOCK;24;15;125,545;3636,372;2;125,545;3;3
T. GLOCK;24;17;118,269;4287,243;3;118,179;2;1
T. GLOCK;24;18;125,734;4412,977;3;125,734;2;2
T. GLOCK;24;20;124,559;5012,456;4;124,199;5;1
T. GLOCK;24;21;121,64;5134,096;4;121,37;5;2
T. GLOCK;24;22;118,848;5252,944;4;118,668;5;3
T. GLOCK;24;23;119,168;5372,112;4;119,078;5;4
T. GLOCK;24;24;133,688;5505,8;4;133,688;5;5
J. D'AMBROSIO;25;1;125,317;167,317;1;124,957;5;1
J. D'AMBROSIO;25;2;123,719;291,036;1;123,449;5;2
J. D'AMBROSIO;25;3;130,089;421,125;1;129,909;5;3
J. D'AMBROSIO;25;4;121,532;542,657;1;121,442;5;4
J. D'AMBROSIO;25;5;139,529;682,186;1;139,529;5;5
J. D'AMBROSIO;25;7;121,304;1600,346;2;120,944;5;1
J. D'AMBROSIO;25;8;120,62;1720,966;2;120,35;5;2
J. D'AMBROSIO;25;9;131,622;1852,588;2;131,442;5;3
J. D'AMBROSIO;25;10;120,116;1972,704;2;120,026;5;4
J. D'AMBROSIO;25;11;135,5;2108,204;2;135,5;5;5
J. D'AMBROSIO;25;13;121,278;3109,802;3;120,738;7;1
J. D'AMBROSIO;25;14;134,829;3244,631;3;134,379;7;2
J. D'AMBROSIO;25;15;161,695;3406,326;3;161,335;7;3
J. D'AMBROSIO;25;16;120,054;3526,38;3;119,784;7;4
J. D'AMBROSIO;25;17;120,561;3646,941;3;120,381;7;5
J. D'AMBROSIO;25;18;119,858;3766,799;3;119,768;7;6
J. D'AMBROSIO;25;19;132,965;3899,764;3;132,965;7;7
J. D'AMBROSIO;25;21;124,892;4841,641;4;124,532;5;1
J. D'AMBROSIO;25;22;125,845;4967,486;4;125,575;5;2
J. D'AMBROSIO;25;23;120,007;5087,493;4;119,827;5;3
J. D'AMBROSIO;25;24;119,458;5206,951;4;119,368;5;4
J. D'AMBROSIO;25;25;134;5340,951;4;134;5;5
H. KOVALAINEN;20;1;123,195;133,195;1;122,385;10;1
H. KOVALAINEN;20;2;121,118;254,313;1;120,398;10;2
H. KOVALAINEN;20;3;119,306;373,619;1;118,676;10;3
H. KOVALAINEN;20;4;118,443;492,062;1;117,903;10;4
H. KOVALAINEN;20;5;118,068;610,13;1;117,618;10;5
H. KOVALAINEN;20;6;124,168;734,298;1;123,808;10;6
H. KOVALAINEN;20;7;117,275;851,573;1;117,005;10;7
H. KOVALAINEN;20;8;117,484;969,057;1;117,304;10;8
H. KOVALAINEN;20;9;116,669;1085,726;1;116,579;10;9
H. KOVALAINEN;20;10;125,546;1211,272;1;125,546;10;10
H. KOVALAINEN;20;12;118,766;2707,468;2;118,316;6;1
H. KOVALAINEN;20;13;124,564;2832,032;2;124,204;6;2
H. KOVALAINEN;20;14;118,436;2950,468;2;118,166;6;3
H. KOVALAINEN;20;15;118,247;3068,715;2;118,067;6;4
H. KOVALAINEN;20;16;117,805;3186,52;2;117,715;6;5
H. KOVALAINEN;20;17;129,719;3316,239;2;129,719;6;6
H. KOVALAINEN;20;19;164,779;5314,95;3;164,779;1;1
J. TRULLI;21;1;124,104;137,104;1;123,294;10;1
J. TRULLI;21;2;121,672;258,776;1;120,952;10;2
J. TRULLI;21;3;119,335;378,111;1;118,705;10;3
J. TRULLI;21;4;118,479;496,59;1;117,939;10;4
J. TRULLI;21;5;118,069;614,659;1;117,619;10;5
J. TRULLI;21;6;125,368;740,027;1;125,008;10;6
J. TRULLI;21;7;118,268;858,295;1;117,998;10;7
J. TRULLI;21;8;117,999;976,294;1;117,819;10;8
J. TRULLI;21;9;117,173;1093,467;1;117,083;10;9
J. TRULLI;21;10;124,585;1218,052;1;124,585;10;10
J. TRULLI;21;12;121,022;2689,16;2;120,572;6;1
J. TRULLI;21;13;118,41;2807,57;2;118,05;6;2
J. TRULLI;21;14;117,93;2925,5;2;117,66;6;3
J. TRULLI;21;15;119,72;3045,22;2;119,54;6;4
J. TRULLI;21;16;119,488;3164,708;2;119,398;6;5
J. TRULLI;21;17;125,293;3290,001;2;125,293;6;6
D. RICCIARDO;22;1;124,972;141,972;1;124,072;11;1
D. RICCIARDO;22;2;127,789;269,761;1;126,979;11;2
D. RICCIARDO;22;3;133,763;403,524;1;133,043;11;3
D. RICCIARDO;22;4;122,322;525,846;1;121,692;11;4
D. RICCIARDO;22;5;121,576;647,422;1;121,036;11;5
D. RICCIARDO;22;6;127,236;774,658;1;126,786;11;6
D. RICCIARDO;22;7;124,587;899,245;1;124,227;11;7
D. RICCIARDO;22;8;120,854;1020,099;1;120,584;11;8
D. RICCIARDO;22;9;120,312;1140,411;1;120,132;11;9
D. RICCIARDO;22;10;119,958;1260,369;1;119,868;11;10
D. RICCIARDO;22;11;126,852;1387,221;1;126,852;11;11
D. RICCIARDO;22;13;121,12;2257,012;2;120,76;5;1
D. RICCIARDO;22;14;122,42;2379,432;2;122,15;5;2
D. RICCIARDO;22;15;120,606;2500,038;2;120,426;5;3
D. RICCIARDO;22;16;120,668;2620,706;2;120,578;5;4
D. RICCIARDO;22;17;130,725;2751,431;2;130,725;5;5
V. LIUZZI;23;1;128,945;261,945;1;128,585;5;1
V. LIUZZI;23;2;123,66;385,605;1;123,39;5;2
V. LIUZZI;23;3;122,58;508,185;1;122,4;5;3
V. LIUZZI;23;4;121,682;629,867;1;121,592;5;4
V. LIUZZI;23;5;141,982;771,849;1;141,982;5;5
V. LIUZZI;23;7;121,224;1081,901;2;120,774;6;1
V. LIUZZI;23;8;127,875;1209,776;2;127,515;6;2
V. LIUZZI;23;9;120,168;1329,944;2;119,898;6;3
V. LIUZZI;23;10;120,241;1450,185;2;120,061;6;4
V. LIUZZI;23;11;120,165;1570,35;2;120,075;6;5
V. LIUZZI;23;12;140,592;1710,942;2;140,592;6;6
V. LIUZZI;23;14;122,749;2561;3;122,389;5;1
V. LIUZZI;23;15;120,642;2681,642;3;120,372;5;2
V. LIUZZI;23;16;132,883;2814,525;3;132,703;5;3
V. LIUZZI;23;17;120,926;2935,451;3;120,836;5;4
V. LIUZZI;23;18;139,883;3075,334;3;139,883;5;5
S. VETTEL;1;1;116,604;195,604;1;115,884;9;1
S. VETTEL;1;2;114,34;309,944;1;113,71;9;2
S. VETTEL;1;3;121,399;431,343;1;120,859;9;3
S. VETTEL;1;4;113,592;544,935;1;113,142;9;4
S. VETTEL;1;5;119,952;664,887;1;119,592;9;5
S. VETTEL;1;6;113,569;778,456;1;113,299;9;6
S. VETTEL;1;7;118,461;896,917;1;118,281;9;7
S. VETTEL;1;8;112,956;1009,873;1;112,866;9;8
S. VETTEL;1;9;121,374;1131,247;1;121,374;9;9
S. VETTEL;1;11;121,741;1928,118;2;121,111;8;1
S. VETTEL;1;12;115,593;2043,711;2;115,053;8;2
S. VETTEL;1;13;125,802;2169,513;2;125,352;8;3
S. VETTEL;1;14;113,137;2282,65;2;112,777;8;4
S. VETTEL;1;15;113,186;2395,836;2;112,916;8;5
S. VETTEL;1;16;113,26;2509,096;2;113,08;8;6
S. VETTEL;1;17;112,932;2622,028;2;112,842;8;7
S. VETTEL;1;18;120,26;2742,288;2;120,26;8;8
