Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;102,855;296,855;1;102,675;3;1
T. GLOCK;24;2;115,328;412,183;1;115,238;3;2
T. GLOCK;24;3;109,945;522,128;1;109,945;3;3
T. GLOCK;24;5;102,091;1159,53;2;102,001;2;1
T. GLOCK;24;6;119,515;1279,045;2;119,515;2;2
J. D'AMBROSIO;25;1;105,248;198,248;1;104,978;4;1
J. D'AMBROSIO;25;2;119,847;318,095;1;119,667;4;2
J. D'AMBROSIO;25;3;104,285;422,38;1;104,195;4;3
J. D'AMBROSIO;25;4;111,243;533,623;1;111,243;4;4
J. D'AMBROSIO;25;6;103,483;1050,545;2;103,393;2;1
J. D'AMBROSIO;25;7;119,225;1169,77;2;119,225;2;2
H. KOVALAINEN;20;1;100,879;608,879;1;100,789;2;1
H. KOVALAINEN;20;2;112,703;721,582;1;112,703;2;2
H. KOVALAINEN;20;4;100,522;1162,663;2;100,432;2;1
H. KOVALAINEN;20;5;122,875;1285,538;2;122,875;2;2
J. TRULLI;21;1;101,609;552,609;1;101,519;2;1
J. TRULLI;21;2;110,349;662,958;1;110,349;2;2
J. TRULLI;21;4;101,101;1170,455;2;101,011;2;1
J. TRULLI;21;5;144,187;1314,642;2;144,187;2;2
V. LIUZZI;23;1;104,586;179,586;1;104,406;3;1
V. LIUZZI;23;2;104,996;284,582;1;104,906;3;2
V. LIUZZI;23;3;115,467;400,049;1;115,467;3;3
V. LIUZZI;23;5;103,758;1027,816;2;103,578;3;1
V. LIUZZI;23;6;104,546;1132,362;2;104,456;3;2
V. LIUZZI;23;7;129,512;1261,874;2;129,512;3;3
S. VETTEL;1;1;99,093;369,093;1;99,003;2;1
S. VETTEL;1;2;123,035;492,128;1;123,035;2;2
S. VETTEL;1;4;97,285;1879,859;2;97,195;2;1
S. VETTEL;1;5;120,091;1999,95;2;120,091;2;2
S. VETTEL;1;7;96,16;3150,326;3;96,07;2;1
S. VETTEL;1;8;118,771;3269,097;3;118,771;2;2
S. VETTEL;1;10;96,042;3559,326;4;95,952;2;1
S. VETTEL;1;11;143,99;3703,316;4;143,99;2;2
L. HAMILTON;3;1;98,278;321,278;1;98,008;4;1
L. HAMILTON;3;2;116,784;438,062;1;116,604;4;2
L. HAMILTON;3;3;97,525;535,587;1;97,435;4;3
L. HAMILTON;3;4;107,714;643,301;1;107,714;4;4
L. HAMILTON;3;6;96,526;1825,039;2;96,436;2;1
L. HAMILTON;3;7;117,974;1943,013;2;117,974;2;2
L. HAMILTON;3;9;96,13;3102,769;3;96,04;2;1
L. HAMILTON;3;10;117,549;3220,318;3;117,549;2;2
L. HAMILTON;3;12;95,82;3538,537;4;95,73;2;1
L. HAMILTON;3;13;135,116;3673,653;4;135,116;2;2
M. WEBBER;2;1;99,071;354,071;1;98,981;2;1
M. WEBBER;2;2;129,891;483,962;1;129,891;2;2
M. WEBBER;2;4;97,292;1848,75;2;97,202;2;1
M. WEBBER;2;5;122,057;1970,807;2;122,057;2;2
M. WEBBER;2;7;96,468;3127,506;3;96,378;2;1
M. WEBBER;2;8;127,394;3254,9;3;127,394;2;2
M. WEBBER;2;10;109,066;3546,577;4;109,066;1;1
F. ALONSO;5;1;98,393;380,393;1;98,303;2;1
F. ALONSO;5;2;130,665;511,058;1;130,665;2;2
F. ALONSO;5;4;97,352;1859,265;2;97,262;2;1
F. ALONSO;5;5;127,136;1986,401;2;127,136;2;2
F. ALONSO;5;7;96,98;3111,731;3;96,89;2;1
F. ALONSO;5;8;115,554;3227,285;3;115,554;2;2
F. ALONSO;5;10;104,724;3560,059;4;104,724;1;1
J. BUTTON;4;1;98,768;348,768;1;98,498;4;1
J. BUTTON;4;2;117,855;466,623;1;117,675;4;2
J. BUTTON;4;3;97,929;564,552;1;97,839;4;3
J. BUTTON;4;4;124,94;689,492;1;124,94;4;4
J. BUTTON;4;6;97,302;1837,845;2;97,212;2;1
J. BUTTON;4;7;131,701;1969,546;2;131,701;2;2
J. BUTTON;4;9;96,566;3122,632;3;96,476;2;1
J. BUTTON;4;10;124,957;3247,589;3;124,957;2;2
J. BUTTON;4;12;96,126;3548,051;4;96,036;2;1
J. BUTTON;4;13;142,404;3690,455;4;142,404;2;2
M. SCHUMACHER;7;1;108,295;385,295;1;107,935;5;1
M. SCHUMACHER;7;2;99,07;484,365;1;98,8;5;2
M. SCHUMACHER;7;3;110,918;595,283;1;110,738;5;3
M. SCHUMACHER;7;4;98,502;693,785;1;98,412;5;4
M. SCHUMACHER;7;5;118,369;812,154;1;118,369;5;5
M. SCHUMACHER;7;7;98,354;2158,07;2;98,264;2;1
M. SCHUMACHER;7;8;113,995;2272,065;2;113,995;2;2
F. MASSA;6;1;98,67;360,67;1;98,49;3;1
F. MASSA;6;2;113,018;473,688;1;112,928;3;2
F. MASSA;6;3;106,501;580,189;1;106,501;3;3
F. MASSA;6;5;98,164;1906,373;2;98,074;2;1
F. MASSA;6;6;117,306;2023,679;2;117,306;2;2
F. MASSA;6;8;97,313;2357,35;3;97,223;2;1
F. MASSA;6;9;124,064;2481,414;3;124,064;2;2
F. MASSA;6;11;97,205;3108,769;4;97,115;2;1
F. MASSA;6;12;116,268;3225,037;4;116,268;2;2
F. MASSA;6;14;96,831;3543,877;5;96,741;2;1
F. MASSA;6;15;136,505;3680,382;5;136,505;2;2
B. SENNA;9;1;99,951;99,951;1;99,681;4;1
B. SENNA;9;2;110,519;210,47;1;110,339;4;2
B. SENNA;9;3;99,754;310,224;1;99,664;4;3
B. SENNA;9;4;106,992;417,216;1;106,992;4;4
B. SENNA;9;6;99,316;786,84;2;99,136;3;1
B. SENNA;9;7;109,771;896,611;2;109,681;3;2
B. SENNA;9;8;108,612;1005,223;2;108,612;3;3
B. SENNA;9;10;109,778;1932,975;3;109,778;1;1
B. SENNA;9;12;98,791;2448,852;4;98,701;2;1
B. SENNA;9;13;126,412;2575,264;4;126,412;2;2
N. ROSBERG;8;1;110,038;390,038;1;109,678;5;1
N. ROSBERG;8;2;98,679;488,717;1;98,409;5;2
N. ROSBERG;8;3;114,059;602,776;1;113,879;5;3
N. ROSBERG;8;4;98,426;701,202;1;98,336;5;4
N. ROSBERG;8;5;118,77;819,972;1;118,77;5;5
N. ROSBERG;8;7;97,892;1892,178;2;97,802;2;1
N. ROSBERG;8;8;124,482;2016,66;2;124,482;2;2
N. ROSBERG;8;10;97,754;3099,857;3;97,664;2;1
N. ROSBERG;8;11;129,364;3229,221;3;129,364;2;2
R. BARRICHELLO;11;1;99,538;899,538;1;99,358;3;1
R. BARRICHELLO;11;2;117,688;1017,226;1;117,598;3;2
R. BARRICHELLO;11;3;108,306;1125,532;1;108,306;3;3
V. PETROV;10;1;99,406;123,406;1;99,136;4;1
V. PETROV;10;2;106,855;230,261;1;106,675;4;2
V. PETROV;10;3;99,873;330,134;1;99,783;4;3
V. PETROV;10;4;110,033;440,167;1;110,033;4;4
V. PETROV;10;6;98,378;824,847;2;98,288;2;1
V. PETROV;10;7;118,259;943,106;2;118,259;2;2
V. PETROV;10;9;98,186;1912,138;3;98,096;2;1
V. PETROV;10;10;114,31;2026,448;3;114,31;2;2
V. PETROV;10;12;98,315;2454,089;4;98,225;2;1
V. PETROV;10;13;122,989;2577,078;4;122,989;2;2
V. PETROV;10;15;98,124;3131,736;5;98,034;2;1
V. PETROV;10;16;111,847;3243,583;5;111,847;2;2
V. PETROV;10;18;106,226;3571,449;6;106,226;1;1
P. MALDONADO;12;1;99,952;922,952;1;99,682;4;1
P. MALDONADO;12;2;119,522;1042,474;1;119,342;4;2
P. MALDONADO;12;3;99,436;1141,91;1;99,346;4;3
P. MALDONADO;12;4;122,923;1264,833;1;122,923;4;4
P. MALDONADO;12;6;99,189;2375,091;2;99,099;2;1
P. MALDONADO;12;7;114,081;2489,172;2;114,081;2;2
P. DI RESTA;15;1;100,245;163,245;1;99,975;4;1
P. DI RESTA;15;2;111,111;274,356;1;110,931;4;2
P. DI RESTA;15;3;99,403;373,759;1;99,313;4;3
P. DI RESTA;15;4;121,137;494,896;1;121,137;4;4
P. DI RESTA;15;6;98,549;988,518;2;98,459;2;1
P. DI RESTA;15;7;118,144;1106,662;2;118,144;2;2
P. DI RESTA;15;9;98,868;1785,176;3;98,778;2;1
P. DI RESTA;15;10;115,146;1900,322;3;115,146;2;2
P. DI RESTA;15;12;98,254;2423,071;4;98,164;2;1
P. DI RESTA;15;13;117,656;2540,727;4;117,656;2;2
P. DI RESTA;15;15;121,064;3579,043;5;121,064;1;1
A. SUTIL;14;1;100,205;315,205;1;99,935;4;1
A. SUTIL;14;2;113,997;429,202;1;113,817;4;2
A. SUTIL;14;3;99,747;528,949;1;99,657;4;3
A. SUTIL;14;4;113,058;642,007;1;113,058;4;4
A. SUTIL;14;6;98,789;1006,608;2;98,699;2;1
A. SUTIL;14;7;121,594;1128,202;2;121,594;2;2
A. SUTIL;14;9;98,76;1875,005;3;98,67;2;1
A. SUTIL;14;10;112,515;1987,52;3;112,515;2;2
A. SUTIL;14;12;98,219;2381,105;4;98,129;2;1
A. SUTIL;14;13;123,713;2504,818;4;123,713;2;2
S. PEREZ;17;1;100,471;232,471;1;100,201;4;1
S. PEREZ;17;2;108,118;340,589;1;107,938;4;2
S. PEREZ;17;3;100,421;441,01;1;100,331;4;3
S. PEREZ;17;4;112,756;553,766;1;112,756;4;4
S. PEREZ;17;6;99,097;951,433;2;99,007;2;1
S. PEREZ;17;7;119,03;1070,463;2;119,03;2;2
S. PEREZ;17;9;99,538;1946,467;3;99,448;2;1
S. PEREZ;17;10;112,685;2059,152;3;112,685;2;2
S. PEREZ;17;12;99,443;2459,814;4;99,353;2;1
S. PEREZ;17;13;138,155;2597,969;4;138,155;2;2
K. KOBAYASHI;16;1;100,877;262,877;1;100,607;4;1
K. KOBAYASHI;16;2;115,692;378,569;1;115,512;4;2
K. KOBAYASHI;16;3;100,288;478,857;1;100,198;4;3
K. KOBAYASHI;16;4;114,085;592,942;1;114,085;4;4
K. KOBAYASHI;16;6;99,464;978,52;2;99,374;2;1
K. KOBAYASHI;16;7;115,807;1094,327;2;115,807;2;2
K. KOBAYASHI;16;9;116,164;1936,066;3;116,164;1;1
K. KOBAYASHI;16;11;98,775;2442,664;4;98,685;2;1
K. KOBAYASHI;16;12;127,482;2570,146;4;127,482;2;2
J. ALGUERSUARI;19;1;99,908;327,908;1;99,728;3;1
J. ALGUERSUARI;19;2;99,392;427,3;1;99,302;3;2
J. ALGUERSUARI;19;3;119,594;546,894;1;119,594;3;3
J. ALGUERSUARI;19;6;98,447;1855,063;3;98,357;2;1
J. ALGUERSUARI;19;7;118,105;1973,168;3;118,105;2;2
J. ALGUERSUARI;19;9;98,315;2408,237;4;98,225;2;1
J. ALGUERSUARI;19;10;120,57;2528,807;4;120,57;2;2
S. BUEMI;18;1;99,491;358,491;1;99,311;3;1
S. BUEMI;18;2;99,352;457,843;1;99,262;3;2
S. BUEMI;18;3;116,226;574,069;1;116,226;3;3
S. BUEMI;18;6;98,508;1871,135;3;98,418;2;1
S. BUEMI;18;7;121,997;1993,132;3;121,997;2;2
S. BUEMI;18;9;98,512;2435,185;4;98,422;2;1
S. BUEMI;18;10;137,659;2572,844;4;137,659;2;2
