Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;2;99,98;820,762;1;99,508;6;1
T. GLOCK;24;3;95,28;916,042;1;94,902;6;2
T. GLOCK;24;4;97,976;1014,018;1;97,692;6;3
T. GLOCK;24;5;94,714;1108,732;1;94,525;6;4
T. GLOCK;24;6;94,024;1202,756;1;93,93;6;5
T. GLOCK;24;7;99,404;1302,16;1;99,404;6;6
T. GLOCK;24;10;94,692;2087,521;3;94,314;5;1
T. GLOCK;24;11;98,308;2185,829;3;98,025;5;2
T. GLOCK;24;12;93,675;2279,504;3;93,486;5;3
T. GLOCK;24;13;93,032;2372,536;3;92,938;5;4
T. GLOCK;24;14;104,077;2476,613;3;104,077;5;5
T. GLOCK;24;17;92,274;3192,816;5;91,802;6;1
T. GLOCK;24;18;91,32;3284,136;5;90,942;6;2
T. GLOCK;24;19;101,337;3385,473;5;101,053;6;3
T. GLOCK;24;20;90,683;3476,156;5;90,494;6;4
T. GLOCK;24;21;91,122;3567,278;5;91,028;6;5
T. GLOCK;24;22;101,975;3669,253;5;101,975;6;6
J. D'AMBROSIO;25;2;100,645;785,448;1;100,456;3;1
J. D'AMBROSIO;25;3;97,882;883,33;1;97,788;3;2
J. D'AMBROSIO;25;4;104,878;988,208;1;104,878;3;3
J. D'AMBROSIO;25;6;96,861;1230,672;2;96,767;2;1
J. D'AMBROSIO;25;7;102,533;1333,205;2;102,533;2;2
J. D'AMBROSIO;25;9;96,143;2298,202;3;95,765;5;1
J. D'AMBROSIO;25;10;94,655;2392,857;3;94,371;5;2
J. D'AMBROSIO;25;11;93,95;2486,807;3;93,761;5;3
J. D'AMBROSIO;25;12;97,275;2584,082;3;97,181;5;4
J. D'AMBROSIO;25;13;102,345;2686,427;3;102,345;5;5
J. D'AMBROSIO;25;15;96,966;3324,139;4;96,682;4;1
J. D'AMBROSIO;25;16;92,851;3416,99;4;92,662;4;2
J. D'AMBROSIO;25;17;95,824;3512,814;4;95,73;4;3
J. D'AMBROSIO;25;18;100,851;3613,665;4;100,851;4;4
H. KOVALAINEN;20;2;94,743;1183,709;1;93,798;11;1
H. KOVALAINEN;20;3;95,19;1278,899;1;94,34;11;2
H. KOVALAINEN;20;4;93,266;1372,165;1;92,51;11;3
H. KOVALAINEN;20;5;93,016;1465,181;1;92,355;11;4
H. KOVALAINEN;20;6;92,373;1557,554;1;91,806;11;5
H. KOVALAINEN;20;7;92,356;1649,91;1;91,883;11;6
H. KOVALAINEN;20;8;91,547;1741,457;1;91,169;11;7
H. KOVALAINEN;20;9;91,736;1833,193;1;91,453;11;8
H. KOVALAINEN;20;10;96,681;1929,874;1;96,492;11;9
