Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;94,046;214,046;1;93,952;2;1
T. GLOCK;24;2;124,87;338,916;1;124,87;2;2
J. D'AMBROSIO;25;1;96,617;113,617;1;95,483;13;1
J. D'AMBROSIO;25;2;95,271;208,888;1;94,231;13;2
J. D'AMBROSIO;25;3;94,487;303,375;1;93,542;13;3
J. D'AMBROSIO;25;4;97,879;401,254;1;97,029;13;4
J. D'AMBROSIO;25;5;93,894;495,148;1;93,138;13;5
J. D'AMBROSIO;25;6;100,231;595,379;1;99,569;13;6
J. D'AMBROSIO;25;7;119,738;715,117;1;119,171;13;7
J. D'AMBROSIO;25;8;91,906;807,023;1;91,434;13;8
J. D'AMBROSIO;25;9;91,878;898,901;1;91,5;13;9
J. D'AMBROSIO;25;10;100,755;999,656;1;100,471;13;10
J. D'AMBROSIO;25;11;95,353;1095,009;1;95,164;13;11
J. D'AMBROSIO;25;12;90,866;1185,875;1;90,772;13;12
J. D'AMBROSIO;25;13;109,723;1295,598;1;109,723;13;13
H. KOVALAINEN;20;1;92,814;92,814;1;92,436;5;1
H. KOVALAINEN;20;2;93,729;186,543;1;93,445;5;2
H. KOVALAINEN;20;3;91,564;278,107;1;91,375;5;3
H. KOVALAINEN;20;4;90,804;368,911;1;90,71;5;4
H. KOVALAINEN;20;5;94,637;463,548;1;94,637;5;5
H. KOVALAINEN;20;7;90,27;801,394;2;89,797;6;1
H. KOVALAINEN;20;8;89,735;891,129;2;89,357;6;2
H. KOVALAINEN;20;9;98,626;989,755;2;98,343;6;3
H. KOVALAINEN;20;10;88,565;1078,32;2;88,376;6;4
H. KOVALAINEN;20;11;89,281;1167,601;2;89,187;6;5
H. KOVALAINEN;20;12;103,946;1271,547;2;103,946;6;6
J. TRULLI;21;1;93,026;98,026;1;92,648;5;1
J. TRULLI;21;2;92,351;190,377;1;92,067;5;2
J. TRULLI;21;3;91,52;281,897;1;91,331;5;3
J. TRULLI;21;4;91,339;373,236;1;91,245;5;4
J. TRULLI;21;5;97,875;471,111;1;97,875;5;5
J. TRULLI;21;7;94,483;815,368;2;94,011;6;1
J. TRULLI;21;8;93,196;908,564;2;92,818;6;2
J. TRULLI;21;9;89,713;998,277;2;89,429;6;3
J. TRULLI;21;10;89,073;1087,35;2;88,884;6;4
J. TRULLI;21;11;88,752;1176,102;2;88,657;6;5
J. TRULLI;21;12;117,589;1293,691;2;117,589;6;6
N. KARTHIKEYAN;22;1;92,345;219,345;1;91,967;5;1
N. KARTHIKEYAN;22;2;90,832;310,177;1;90,548;5;2
N. KARTHIKEYAN;22;3;101,69;411,867;1;101,501;5;3
N. KARTHIKEYAN;22;4;90,66;502,527;1;90,566;5;4
N. KARTHIKEYAN;22;5;98,281;600,808;1;98,281;5;5
N. KARTHIKEYAN;22;7;91,977;982,766;2;91,694;4;1
N. KARTHIKEYAN;22;8;90,238;1073,004;2;90,049;4;2
N. KARTHIKEYAN;22;9;94,554;1167,558;2;94,46;4;3
N. KARTHIKEYAN;22;10;116,008;1283,566;2;116,008;4;4
D. RICCIARDO;23;1;91,888;199,888;1;91,51;5;1
D. RICCIARDO;23;2;90,803;290,691;1;90,519;5;2
D. RICCIARDO;23;3;90,541;381,232;1;90,352;5;3
D. RICCIARDO;23;4;90,891;472,123;1;90,797;5;4
D. RICCIARDO;23;5;97,471;569,594;1;97,471;5;5
D. RICCIARDO;23;7;90,341;963,373;2;90,057;4;1
D. RICCIARDO;23;8;90,216;1053,589;2;90,027;4;2
D. RICCIARDO;23;9;90,417;1144,006;2;90,323;4;3
D. RICCIARDO;23;10;124,297;1268,303;2;124,297;4;4
S. VETTEL;1;1;88,493;268,493;1;88,02;6;1
S. VETTEL;1;2;94,244;362,737;1;93,866;6;2
S. VETTEL;1;3;86,948;449,685;1;86,664;6;3
S. VETTEL;1;4;97,678;547,363;1;97,489;6;4
S. VETTEL;1;5;86,218;633,581;1;86,124;6;5
S. VETTEL;1;6;99,667;733,248;1;99,667;6;6
S. VETTEL;1;8;84,657;1784,642;2;84,562;2;1
S. VETTEL;1;9;97,164;1881,806;2;97,164;2;2
S. VETTEL;1;11;84,437;3162,001;3;84,343;2;1
S. VETTEL;1;12;108,856;3270,857;3;108,856;2;2
S. VETTEL;1;14;84,178;3534,104;4;84,084;2;1
S. VETTEL;1;15;120,779;3654,883;4;120,779;2;2
L. HAMILTON;3;1;88,594;259,594;1;88,121;6;1
L. HAMILTON;3;2;96,486;356,08;1;96,108;6;2
L. HAMILTON;3;3;87,007;443,087;1;86,724;6;3
L. HAMILTON;3;4;95,075;538,162;1;94,886;6;4
L. HAMILTON;3;5;86,563;624,725;1;86,469;6;5
L. HAMILTON;3;6;95,202;719,927;1;95,202;6;6
L. HAMILTON;3;8;85,604;1831,347;2;85,32;4;1
L. HAMILTON;3;9;95,224;1926,571;2;95,035;4;2
L. HAMILTON;3;10;85,019;2011,59;2;84,925;4;3
L. HAMILTON;3;11;102,712;2114,302;2;102,712;4;4
L. HAMILTON;3;13;86,43;3082,865;3;86,241;3;1
L. HAMILTON;3;14;84,474;3167,339;3;84,38;3;2
L. HAMILTON;3;15;92,338;3259,677;3;92,338;3;3
L. HAMILTON;3;17;92,275;3524,52;4;92,275;1;1
M. WEBBER;2;1;88,161;341,161;1;87,594;7;1
M. WEBBER;2;2;87,41;428,571;1;86,938;7;2
M. WEBBER;2;3;87,47;516,041;1;87,092;7;3
M. WEBBER;2;4;98,871;614,912;1;98,587;7;4
M. WEBBER;2;5;94,565;709,477;1;94,376;7;5
M. WEBBER;2;6;86,473;795,95;1;86,379;7;6
M. WEBBER;2;7;94,614;890,564;1;94,614;7;7
M. WEBBER;2;9;85,282;1825,315;2;85,188;2;1
M. WEBBER;2;10;106,411;1931,726;2;106,411;2;2
M. WEBBER;2;12;91,166;3115,024;3;90,977;3;1
M. WEBBER;2;13;84,508;3199,532;3;84,413;3;2
M. WEBBER;2;14;102,207;3301,739;3;102,207;3;3
M. WEBBER;2;16;104,886;3591,787;4;104,886;1;1
F. ALONSO;5;1;87,836;227,836;1;87,364;6;1
F. ALONSO;5;2;87,478;315,314;1;87,1;6;2
F. ALONSO;5;3;95,45;410,764;1;95,166;6;3
F. ALONSO;5;4;90,683;501,447;1;90,494;6;4
F. ALONSO;5;5;86,774;588,221;1;86,68;6;5
F. ALONSO;5;6;95,434;683,655;1;95,434;6;6
F. ALONSO;5;8;85,658;1841,465;2;85,374;4;1
F. ALONSO;5;9;98,789;1940,254;2;98,6;4;2
F. ALONSO;5;10;85,158;2025,412;2;85,064;4;3
F. ALONSO;5;11;103,488;2128,9;2;103,488;4;4
F. ALONSO;5;13;84,586;3090,951;3;84,492;2;1
F. ALONSO;5;14;95,997;3186,948;3;95,997;2;2
F. ALONSO;5;16;90,08;3459,28;4;89,891;3;1
F. ALONSO;5;17;84,519;3543,799;4;84,425;3;2
F. ALONSO;5;18;122,208;3666,007;4;122,208;3;3
J. BUTTON;4;1;89,762;326,762;1;89,29;6;1
J. BUTTON;4;2;87,978;414,74;1;87,6;6;2
J. BUTTON;4;3;96,853;511,593;1;96,569;6;3
J. BUTTON;4;4;91,134;602,727;1;90,945;6;4
J. BUTTON;4;5;87,761;690,488;1;87,666;6;5
J. BUTTON;4;6;97,364;787,852;1;97,364;6;6
J. BUTTON;4;8;93,469;1093,487;2;93,28;3;1
J. BUTTON;4;9;86,225;1179,712;2;86,13;3;2
J. BUTTON;4;10;111,793;1291,505;2;111,793;3;3
J. BUTTON;4;12;94,018;1828,846;3;93,829;3;1
J. BUTTON;4;13;85,299;1914,145;3;85,205;3;2
J. BUTTON;4;14;94,49;2008,635;3;94,49;3;3
J. BUTTON;4;16;90,175;3380,512;4;89,891;4;1
J. BUTTON;4;17;103,183;3483,695;4;102,994;4;2
J. BUTTON;4;18;84,95;3568,645;4;84,856;4;3
J. BUTTON;4;19;123,357;3692,002;4;123,357;4;4
M. SCHUMACHER;7;1;90,943;257,943;1;90,565;5;1
