Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;96,51;96,51;1;96,33;6;1
T. GLOCK;24;2;83,036;179,546;1;82,892;6;2
T. GLOCK;24;3;87,55;267,096;1;87,442;6;3
T. GLOCK;24;4;81,376;348,472;1;81,304;6;4
T. GLOCK;24;5;85,282;433,754;1;85,246;6;5
T. GLOCK;24;6;80,597;514,351;1;80,597;6;6
T. GLOCK;24;8;92,182;1197,838;2;92,074;4;1
T. GLOCK;24;9;79,511;1277,349;2;79,439;4;2
T. GLOCK;24;10;79,338;1356,687;2;79,302;4;3
T. GLOCK;24;11;93,415;1450,102;2;93,415;4;4
T. GLOCK;24;13;89,834;3241,162;3;89,654;6;1
T. GLOCK;24;14;93,568;3334,73;3;93,424;6;2
T. GLOCK;24;15;84,379;3419,109;3;84,271;6;3
T. GLOCK;24;16;79,662;3498,771;3;79,59;6;4
T. GLOCK;24;17;82,477;3581,248;3;82,441;6;5
T. GLOCK;24;18;79,367;3660,615;3;79,367;6;6
T. GLOCK;24;20;100,144;4314,993;4;99,676;14;1
T. GLOCK;24;21;83,685;4398,678;4;83,253;14;2
T. GLOCK;24;22;82,143;4480,821;4;81,747;14;3
T. GLOCK;24;23;88,131;4568,952;4;87,771;14;4
T. GLOCK;24;24;82,558;4651,51;4;82,234;14;5
T. GLOCK;24;25;82,321;4733,831;4;82,033;14;6
T. GLOCK;24;26;85,677;4819,508;4;85,425;14;7
T. GLOCK;24;27;83,519;4903,027;4;83,303;14;8
T. GLOCK;24;28;83,223;4986,25;4;83,043;14;9
T. GLOCK;24;29;82,767;5069,017;4;82,623;14;10
T. GLOCK;24;30;82,669;5151,686;4;82,561;14;11
T. GLOCK;24;31;83,386;5235,072;4;83,314;14;12
T. GLOCK;24;32;89,673;5324,745;4;89,637;14;13
T. GLOCK;24;33;82,769;5407,514;4;82,769;14;14
J. D'AMBROSIO;25;1;95,411;102,411;1;95,195;7;1
J. D'AMBROSIO;25;2;85,814;188,225;1;85,634;7;2
J. D'AMBROSIO;25;3;82,45;270,675;1;82,306;7;3
J. D'AMBROSIO;25;4;81,467;352,142;1;81,359;7;4
J. D'AMBROSIO;25;5;88,392;440,534;1;88,32;7;5
J. D'AMBROSIO;25;6;85,014;525,548;1;84,978;7;6
J. D'AMBROSIO;25;7;81,073;606,621;1;81,073;7;7
J. D'AMBROSIO;25;9;96,984;1611,778;2;96,876;4;1
J. D'AMBROSIO;25;10;82,769;1694,547;2;82,697;4;2
J. D'AMBROSIO;25;11;81,162;1775,709;2;81,126;4;3
J. D'AMBROSIO;25;12;90,684;1866,393;2;90,684;4;4
J. D'AMBROSIO;25;14;89,87;2649,69;3;89,798;3;1
J. D'AMBROSIO;25;15;81,54;2731,23;3;81,504;3;2
J. D'AMBROSIO;25;16;81,262;2812,492;3;81,262;3;3
J. D'AMBROSIO;25;18;91,262;3300,237;4;91,118;5;1
J. D'AMBROSIO;25;19;79,4;3379,637;4;79,292;5;2
J. D'AMBROSIO;25;20;79,185;3458,822;4;79,113;5;3
J. D'AMBROSIO;25;21;87,654;3546,476;4;87,618;5;4
J. D'AMBROSIO;25;22;79,429;3625,905;4;79,429;5;5
J. D'AMBROSIO;25;24;87,925;4245,457;5;87,421;15;1
J. D'AMBROSIO;25;25;82,702;4328,159;5;82,234;15;2
J. D'AMBROSIO;25;26;82,072;4410,231;5;81,64;15;3
J. D'AMBROSIO;25;27;82,668;4492,899;5;82,272;15;4
J. D'AMBROSIO;25;28;82,612;4575,511;5;82,252;15;5
J. D'AMBROSIO;25;29;83,011;4658,522;5;82,687;15;6
J. D'AMBROSIO;25;30;85,759;4744,281;5;85,471;15;7
J. D'AMBROSIO;25;31;83,658;4827,939;5;83,406;15;8
J. D'AMBROSIO;25;32;84,062;4912,001;5;83,846;15;9
