Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;90,733;170,733;1;90,589;5;1
T. GLOCK;24;2;82,075;252,808;1;81,967;5;2
T. GLOCK;24;3;78,963;331,771;1;78,891;5;3
T. GLOCK;24;4;84,209;415,98;1;84,173;5;4
T. GLOCK;24;5;78,619;494,599;1;78,619;5;5
T. GLOCK;24;7;96,763;921,742;2;96,619;5;1
T. GLOCK;24;8;78,448;1000,19;2;78,34;5;2
T. GLOCK;24;9;78,26;1078,45;2;78,188;5;3
T. GLOCK;24;10;92,176;1170,626;2;92,14;5;4
T. GLOCK;24;11;77,914;1248,54;2;77,914;5;5
J. D'AMBROSIO;25;1;94,134;94,134;1;93,99;5;1
J. D'AMBROSIO;25;2;83,192;177,326;1;83,084;5;2
J. D'AMBROSIO;25;3;80,015;257,341;1;79,943;5;3
J. D'AMBROSIO;25;4;86,421;343,762;1;86,385;5;4
J. D'AMBROSIO;25;5;79,883;423,645;1;79,883;5;5
J. D'AMBROSIO;25;7;94,391;916,421;2;94,283;4;1
J. D'AMBROSIO;25;8;86,138;1002,559;2;86,066;4;2
J. D'AMBROSIO;25;9;78,736;1081,295;2;78,7;4;3
J. D'AMBROSIO;25;10;84,585;1165,88;2;84,585;4;4
H. KOVALAINEN;20;1;95,376;330,376;1;95,268;4;1
H. KOVALAINEN;20;2;78,162;408,538;1;78,09;4;2
H. KOVALAINEN;20;3;90,564;499,102;1;90,528;4;3
H. KOVALAINEN;20;4;77,993;577,095;1;77,993;4;4
H. KOVALAINEN;20;6;95,968;1010,768;2;95,86;4;1
H. KOVALAINEN;20;7;85,709;1096,477;2;85,637;4;2
H. KOVALAINEN;20;8;77,343;1173,82;2;77,307;4;3
H. KOVALAINEN;20;9;77,772;1251,592;2;77,772;4;4
J. TRULLI;21;1;91,053;383,053;1;90,981;3;1
J. TRULLI;21;2;78,061;461,114;1;78,025;3;2
J. TRULLI;21;3;77,563;538,677;1;77,563;3;3
J. TRULLI;21;5;88,667;996,654;2;88,559;4;1
J. TRULLI;21;6;80,175;1076,829;2;80,103;4;2
J. TRULLI;21;7;81,469;1158,298;2;81,433;4;3
J. TRULLI;21;8;77,381;1235,679;2;77,381;4;4
S. VETTEL;1;1;92,007;367,007;1;91,791;7;1
S. VETTEL;1;2;76,317;443,324;1;76,137;7;2
S. VETTEL;1;3;75,606;518,93;1;75,462;7;3
S. VETTEL;1;4;80,91;599,84;1;80,802;7;4
S. VETTEL;1;5;80,321;680,161;1;80,249;7;5
S. VETTEL;1;6;77,827;757,988;1;77,791;7;6
S. VETTEL;1;7;77,396;835,384;1;77,396;7;7
S. VETTEL;1;9;87,539;1845,562;2;87,431;4;1
S. VETTEL;1;10;74,314;1919,876;2;74,242;4;2
S. VETTEL;1;11;81,026;2000,902;2;80,99;4;3
S. VETTEL;1;12;74,277;2075,179;2;74,277;4;4
S. VETTEL;1;14;84,042;3211,066;3;84,006;2;1
S. VETTEL;1;15;73,556;3284,622;3;73,556;2;2
S. VETTEL;1;17;106,049;5823,762;4;106,049;1;1
L. HAMILTON;3;1;98,208;269,208;1;98,028;6;1
L. HAMILTON;3;2;76,321;345,529;1;76,177;6;2
L. HAMILTON;3;3;86,674;432,203;1;86,566;6;3
L. HAMILTON;3;4;75,93;508,133;1;75,858;6;4
L. HAMILTON;3;5;81,237;589,37;1;81,201;6;5
L. HAMILTON;3;6;75,207;664,577;1;75,207;6;6
L. HAMILTON;3;8;94,57;1778,159;2;94,534;2;1
