Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;105,348;1534,348;1;105,21;4;1
T. GLOCK;24;2;82,387;1616,735;1;82,295;4;2
T. GLOCK;24;3;80,751;1697,486;1;80,705;4;3
T. GLOCK;24;4;80,499;1777,985;1;80,499;4;4
T. GLOCK;24;6;98,701;2566,333;2;98,287;10;1
T. GLOCK;24;7;84,948;2651,281;2;84,58;10;2
T. GLOCK;24;8;79,343;2730,624;2;79,021;10;3
T. GLOCK;24;9;79,402;2810,026;2;79,126;10;4
T. GLOCK;24;10;87,388;2897,414;2;87,158;10;5
T. GLOCK;24;11;79,073;2976,487;2;78,889;10;6
T. GLOCK;24;12;79,568;3056,055;2;79,43;10;7
T. GLOCK;24;13;80,368;3136,423;2;80,276;10;8
T. GLOCK;24;14;80,689;3217,112;2;80,643;10;9
T. GLOCK;24;15;80,884;3297,996;2;80,884;10;10
T. GLOCK;24;17;85,608;3626,71;3;85,608;1;1
J. D'AMBROSIO;25;2;105,021;1778,256;1;104,515;12;1
J. D'AMBROSIO;25;3;87,192;1865,448;1;86,732;12;2
J. D'AMBROSIO;25;4;83,648;1949,096;1;83,234;12;3
J. D'AMBROSIO;25;5;86,16;2035,256;1;85,792;12;4
J. D'AMBROSIO;25;6;82,401;2117,657;1;82,079;12;5
J. D'AMBROSIO;25;7;82,519;2200,176;1;82,243;12;6
J. D'AMBROSIO;25;8;81,822;2281,998;1;81,592;12;7
J. D'AMBROSIO;25;9;86,21;2368,208;1;86,026;12;8
J. D'AMBROSIO;25;10;81,939;2450,147;1;81,801;12;9
J. D'AMBROSIO;25;11;81,133;2531,28;1;81,041;12;10
J. D'AMBROSIO;25;12;82,787;2614,067;1;82,741;12;11
J. D'AMBROSIO;25;13;81,324;2695,391;1;81,324;12;12
J. D'AMBROSIO;25;15;100,723;3305,81;2;100,585;4;1
J. D'AMBROSIO;25;16;80,61;3386,42;2;80,518;4;2
J. D'AMBROSIO;25;17;80,475;3466,895;2;80,429;4;3
J. D'AMBROSIO;25;18;86,212;3553,107;2;86,212;4;4
H. KOVALAINEN;20;2;95,475;906,535;1;95,153;8;1
H. KOVALAINEN;20;3;79,231;985,766;1;78,955;8;2
H. KOVALAINEN;20;4;79,029;1064,795;1;78,799;8;3
