Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;93,159;93,159;1;92,929;6;1
T. GLOCK;24;2;86,311;179,47;1;86,127;6;2
T. GLOCK;24;3;79,848;259,318;1;79,71;6;3
T. GLOCK;24;4;79,434;338,752;1;79,342;6;4
T. GLOCK;24;5;90,701;429,453;1;90,655;6;5
T. GLOCK;24;6;78,537;507,99;1;78,537;6;6
T. GLOCK;24;8;88,315;911,19;2;88,177;4;1
T. GLOCK;24;9;85,234;996,424;2;85,142;4;2
T. GLOCK;24;10;78,824;1075,248;2;78,778;4;3
T. GLOCK;24;11;78,65;1153,898;2;78,65;4;4
H. KOVALAINEN;20;1;86,554;238,554;1;86,416;4;1
H. KOVALAINEN;20;2;77,671;316,225;1;77,579;4;2
H. KOVALAINEN;20;3;85,974;402,199;1;85,928;4;3
H. KOVALAINEN;20;4;76,786;478,985;1;76,786;4;4
H. KOVALAINEN;20;6;83,377;955,355;2;83,239;4;1
H. KOVALAINEN;20;7;77,519;1032,874;2;77,427;4;2
H. KOVALAINEN;20;8;80,767;1113,641;2;80,721;4;3
H. KOVALAINEN;20;9;76,954;1190,595;2;76,954;4;4
J. TRULLI;21;1;90,731;138,731;1;90,547;5;1
J. TRULLI;21;2;80,551;219,282;1;80,413;5;2
J. TRULLI;21;3;80,271;299,553;1;80,179;5;3
J. TRULLI;21;4;77,487;377,04;1;77,441;5;4
J. TRULLI;21;5;77,205;454,245;1;77,205;5;5
J. TRULLI;21;7;85,186;919,477;2;85,002;5;1
J. TRULLI;21;8;82,291;1001,768;2;82,153;5;2
J. TRULLI;21;9;80,579;1082,347;2;80,487;5;3
J. TRULLI;21;10;78,72;1161,067;2;78,674;5;4
J. TRULLI;21;11;76,745;1237,812;2;76,745;5;5
N. KARTHIKEYAN;22;1;86,895;146,895;1;86,757;4;1
N. KARTHIKEYAN;22;2;80,187;227,082;1;80,095;4;2
N. KARTHIKEYAN;22;3;81,875;308,957;1;81,829;4;3
N. KARTHIKEYAN;22;4;79,081;388,038;1;79,081;4;4
N. KARTHIKEYAN;22;6;84,023;892,761;2;83,839;5;1
N. KARTHIKEYAN;22;7;81,125;973,886;2;80,987;5;2
N. KARTHIKEYAN;22;8;78,736;1052,622;2;78,644;5;3
N. KARTHIKEYAN;22;9;82,871;1135,493;2;82,825;5;4
N. KARTHIKEYAN;22;10;78,574;1214,067;2;78,574;5;5
V. LIUZZI;23;1;94,299;175,299;1;94,161;4;1
V. LIUZZI;23;2;87,099;262,398;1;87,007;4;2
V. LIUZZI;23;3;78,922;341,32;1;78,876;4;3
V. LIUZZI;23;4;78,43;419,75;1;78,43;4;4
V. LIUZZI;23;6;92,407;912,964;2;92,269;4;1
V. LIUZZI;23;7;85,376;998,34;2;85,284;4;2
V. LIUZZI;23;8;78,424;1076,764;2;78,378;4;3
V. LIUZZI;23;9;90,69;1167,454;2;90,69;4;4
S. VETTEL;1;1;90,476;245,476;1;90,292;5;1
S. VETTEL;1;2;78,558;324,034;1;78,42;5;2
S. VETTEL;1;3;74,703;398,737;1;74,611;5;3
S. VETTEL;1;4;74,318;473,055;1;74,272;5;4
S. VETTEL;1;5;74,011;547,066;1;74,011;5;5
S. VETTEL;1;7;94,397;1792,892;2;94,259;4;1
S. VETTEL;1;8;73,69;1866,582;2;73,598;4;2
S. VETTEL;1;9;88,423;1955,005;2;88,377;4;3
S. VETTEL;1;10;73,486;2028,491;2;73,486;4;4
S. VETTEL;1;12;85,111;3138,037;3;85,065;2;1
S. VETTEL;1;13;73,014;3211,051;3;73,014;2;2
S. VETTEL;1;15;82,453;3507,635;4;82,407;2;1
S. VETTEL;1;16;73,035;3580,67;4;73,035;2;2
L. HAMILTON;3;1;97,381;319,381;1;97,151;6;1
L. HAMILTON;3;2;76,188;395,569;1;76,004;6;2
L. HAMILTON;3;3;75,069;470,638;1;74,931;6;3
L. HAMILTON;3;4;74,736;545,374;1;74,644;6;4
L. HAMILTON;3;5;81,899;627,273;1;81,853;6;5
L. HAMILTON;3;6;74,114;701,387;1;74,114;6;6
L. HAMILTON;3;8;86,915;1776,44;2;86,823;3;1
L. HAMILTON;3;9;74,517;1850,957;2;74,471;3;2
