Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;2;129,841;929,768;1;129,493;5;1
T. GLOCK;24;3;105,903;1035,671;1;105,642;5;2
T. GLOCK;24;4;105,532;1141,203;1;105,358;5;3
T. GLOCK;24;5;106,861;1248,064;1;106,774;5;4
T. GLOCK;24;6;105,215;1353,279;1;105,215;5;5
T. GLOCK;24;8;129,741;2190,829;2;129,567;3;1
T. GLOCK;24;9;104,633;2295,462;2;104,546;3;2
T. GLOCK;24;10;109,772;2405,234;2;109,772;3;3
T. GLOCK;24;12;117,528;2869,74;3;117,528;1;1
T. GLOCK;24;14;130,445;3311,69;4;130,184;4;1
T. GLOCK;24;15;120,554;3432,244;4;120,38;4;2
T. GLOCK;24;16;102,557;3534,801;4;102,47;4;3
T. GLOCK;24;17;119,778;3654,579;4;119,778;4;4
J. D'AMBROSIO;25;2;123,423;864,696;1;123,075;5;1
J. D'AMBROSIO;25;3;106,91;971,606;1;106,649;5;2
J. D'AMBROSIO;25;4;105,8;1077,406;1;105,626;5;3
J. D'AMBROSIO;25;5;105,875;1183,281;1;105,788;5;4
J. D'AMBROSIO;25;6;105,896;1289,177;1;105,896;5;5
J. D'AMBROSIO;25;8;121,746;1939,787;2;121,659;2;1
J. D'AMBROSIO;25;9;104,983;2044,77;2;104,983;2;2
J. D'AMBROSIO;25;11;113,236;2681,849;3;113,149;2;1
J. D'AMBROSIO;25;12;105,539;2787,388;3;105,539;2;2
J. D'AMBROSIO;25;14;139,397;3361,695;4;139,136;4;1
J. D'AMBROSIO;25;15;111,041;3472,736;4;110,867;4;2
J. D'AMBROSIO;25;16;103,309;3576,045;4;103,222;4;3
J. D'AMBROSIO;25;17;104,083;3680,128;4;104,083;4;4
H. KOVALAINEN;20;2;123,687;1320,028;1;123,252;6;1
H. KOVALAINEN;20;3;103,976;1424,004;1;103,628;6;2
H. KOVALAINEN;20;4;103,495;1527,499;1;103,234;6;3
H. KOVALAINEN;20;5;103,5;1630,999;1;103,326;6;4
H. KOVALAINEN;20;6;111,871;1742,87;1;111,784;6;5
H. KOVALAINEN;20;7;103,379;1846,249;1;103,379;6;6
H. KOVALAINEN;20;9;127,081;2841,188;2;126,646;6;1
H. KOVALAINEN;20;10;102,163;2943,351;2;101,815;6;2
H. KOVALAINEN;20;11;110,138;3053,489;2;109,877;6;3
H. KOVALAINEN;20;12;101,267;3154,756;2;101,093;6;4
H. KOVALAINEN;20;13;112,801;3267,557;2;112,714;6;5
H. KOVALAINEN;20;14;101,485;3369,042;2;101,485;6;6
J. TRULLI;21;1;130,703;885,703;1;130,355;5;1
J. TRULLI;21;2;105,364;991,067;1;105,103;5;2
J. TRULLI;21;3;104,895;1095,962;1;104,721;5;3
J. TRULLI;21;4;103,923;1199,885;1;103,836;5;4
J. TRULLI;21;5;103,842;1303,727;1;103,842;5;5
J. TRULLI;21;7;116,442;2333,615;2;116,094;5;1
J. TRULLI;21;8;105,596;2439,211;2;105,335;5;2
J. TRULLI;21;9;103,261;2542,472;2;103,087;5;3
J. TRULLI;21;10;110,113;2652,585;2;110,026;5;4
J. TRULLI;21;11;106,214;2758,799;2;106,214;5;5
J. TRULLI;21;13;131,654;3226,475;3;131,393;4;1
J. TRULLI;21;14;102,195;3328,67;3;102,021;4;2
J. TRULLI;21;15;108,984;3437,654;3;108,897;4;3
J. TRULLI;21;16;101,69;3539,344;3;101,69;4;4
N. KARTHIKEYAN;22;2;118,736;889,272;1;118,388;5;1
N. KARTHIKEYAN;22;3;109,95;999,222;1;109,689;5;2
N. KARTHIKEYAN;22;4;109,056;1108,278;1;108,882;5;3
N. KARTHIKEYAN;22;5;107,539;1215,817;1;107,452;5;4
N. KARTHIKEYAN;22;6;117,219;1333,036;1;117,219;5;5
N. KARTHIKEYAN;22;8;134,887;2104,091;2;134,539;5;1
N. KARTHIKEYAN;22;9;106,842;2210,933;2;106,581;5;2
N. KARTHIKEYAN;22;10;109,503;2320,436;2;109,329;5;3
N. KARTHIKEYAN;22;11;107,643;2428,079;2;107,556;5;4
N. KARTHIKEYAN;22;12;106,267;2534,346;2;106,267;5;5
N. KARTHIKEYAN;22;14;116,494;3259,438;3;116,146;5;1
N. KARTHIKEYAN;22;15;105,001;3364,439;3;104,74;5;2
N. KARTHIKEYAN;22;16;118,204;3482,643;3;118,03;5;3
N. KARTHIKEYAN;22;17;104,63;3587,273;3;104,543;5;4
N. KARTHIKEYAN;22;18;112,413;3699,686;3;112,413;5;5
V. LIUZZI;23;2;124,267;960,126;1;124,006;4;1
V. LIUZZI;23;3;109,583;1069,709;1;109,409;4;2
V. LIUZZI;23;4;105,822;1175,531;1;105,735;4;3
V. LIUZZI;23;5;105,875;1281,406;1;105,875;4;4
V. LIUZZI;23;7;135,884;1989,507;2;135,536;5;1
V. LIUZZI;23;8;105,361;2094,868;2;105,1;5;2
V. LIUZZI;23;9;104,937;2199,805;2;104,763;5;3
V. LIUZZI;23;10;118,218;2318,023;2;118,131;5;4
V. LIUZZI;23;11;104,935;2422,958;2;104,935;5;5
V. LIUZZI;23;13;121,715;3188,657;3;121,454;4;1
V. LIUZZI;23;14;103,411;3292,068;3;103,237;4;2
V. LIUZZI;23;15;110,739;3402,807;3;110,652;4;3
V. LIUZZI;23;16;103,243;3506,05;3;103,243;4;4
S. VETTEL;1;3;123,255;1783,736;2;122,559;9;1
S. VETTEL;1;4;100,217;1883,953;2;99,608;9;2
S. VETTEL;1;5;98,999;1982,952;2;98,477;9;3
S. VETTEL;1;6;102,89;2085,842;2;102,455;9;4
S. VETTEL;1;7;98,694;2184,536;2;98,346;9;5
S. VETTEL;1;8;106,658;2291,194;2;106,397;9;6
S. VETTEL;1;9;98,838;2390,032;2;98,664;9;7
S. VETTEL;1;10;98,913;2488,945;2;98,826;9;8
S. VETTEL;1;11;119,083;2608,028;2;119,083;9;9
S. VETTEL;1;13;120,055;3381,77;3;119,707;5;1
S. VETTEL;1;14;97,258;3479,028;3;96,997;5;2
S. VETTEL;1;15;106,688;3585,716;3;106,514;5;3
S. VETTEL;1;16;97,813;3683,529;3;97,726;5;4
S. VETTEL;1;17;113,876;3797,405;3;113,876;5;5
L. HAMILTON;3;2;124,299;1222,264;1;123,951;5;1
L. HAMILTON;3;3;104,859;1327,123;1;104,598;5;2
L. HAMILTON;3;4;101,379;1428,502;1;101,205;5;3
L. HAMILTON;3;5;104,864;1533,366;1;104,777;5;4
L. HAMILTON;3;6;100,908;1634,274;1;100,908;5;5
L. HAMILTON;3;8;128,585;2359,798;2;128,585;1;1
L. HAMILTON;3;10;135,879;3183,721;3;135,705;3;1
L. HAMILTON;3;11;103,828;3287,549;3;103,741;3;2
L. HAMILTON;3;12;98,741;3386,29;3;98,741;3;3
M. WEBBER;2;2;99,738;1921,964;1;99,303;6;1
M. WEBBER;2;3;105,743;2027,707;1;105,395;6;2
M. WEBBER;2;4;99,285;2126,992;1;99,024;6;3
M. WEBBER;2;5;110,068;2237,06;1;109,894;6;4
M. WEBBER;2;6;99,352;2336,412;1;99,265;6;5
M. WEBBER;2;7;113,847;2450,259;1;113,847;6;6
M. WEBBER;2;9;98,068;3404,07;2;97,807;4;1
M. WEBBER;2;10;109,419;3513,489;2;109,245;4;2
M. WEBBER;2;11;98,167;3611,656;2;98,08;4;3
M. WEBBER;2;12;117,658;3729,314;2;117,658;4;4
F. ALONSO;5;2;113,969;1255,674;1;113,36;8;1
F. ALONSO;5;3;103,298;1358,972;1;102,776;8;2
F. ALONSO;5;4;99,743;1458,715;1;99,308;8;3
F. ALONSO;5;5;111,511;1570,226;1;111,163;8;4
F. ALONSO;5;6;102,979;1673,205;1;102,718;8;5
F. ALONSO;5;7;99,506;1772,711;1;99,332;8;6
F. ALONSO;5;8;99,701;1872,412;1;99,614;8;7
F. ALONSO;5;9;114,558;1986,97;1;114,558;8;8
F. ALONSO;5;11;112,563;2726,247;2;112,389;3;1
F. ALONSO;5;12;97,678;2823,925;2;97,591;3;2
F. ALONSO;5;13;109,406;2933,331;2;109,406;3;3
F. ALONSO;5;15;125,887;3458,019;3;125,887;1;1
J. BUTTON;4;2;128,037;1606,473;1;127,602;6;1
J. BUTTON;4;3;100,069;1706,542;1;99,721;6;2
J. BUTTON;4;4;110,592;1817,134;1;110,331;6;3
J. BUTTON;4;5;99,529;1916,663;1;99,355;6;4
J. BUTTON;4;6;114,988;2031,651;1;114,901;6;5
J. BUTTON;4;7;99,687;2131,338;1;99,687;6;6
J. BUTTON;4;9;124,722;3092,368;2;124,461;4;1
J. BUTTON;4;10;98,326;3190,694;2;98,152;4;2
J. BUTTON;4;11;111,53;3302,224;2;111,443;4;3
J. BUTTON;4;12;98,35;3400,574;2;98,35;4;4
M. SCHUMACHER;7;2;134,898;1049,486;1;134,637;4;1
M. SCHUMACHER;7;3;112,803;1162,289;1;112,629;4;2
M. SCHUMACHER;7;4;103,822;1266,111;1;103,735;4;3
M. SCHUMACHER;7;5;101,129;1367,24;1;101,129;4;4
M. SCHUMACHER;7;7;138,989;2251,339;2;138,902;2;1
M. SCHUMACHER;7;8;98,799;2350,138;2;98,799;2;2
M. SCHUMACHER;7;10;145,107;3290,848;3;144,846;4;1
M. SCHUMACHER;7;11;120,418;3411,266;3;120,244;4;2
M. SCHUMACHER;7;12;117,525;3528,791;3;117,438;4;3
M. SCHUMACHER;7;13;99,194;3627,985;3;99,194;4;4
F. MASSA;6;2;116,166;1229,504;1;115,644;7;1
F. MASSA;6;3;107,491;1336,995;1;107,056;7;2
F. MASSA;6;4;100,891;1437,886;1;100,543;7;3
F. MASSA;6;5;106,278;1544,164;1;106,017;7;4
F. MASSA;6;6;100,008;1644,172;1;99,834;7;5
F. MASSA;6;7;110,919;1755,091;1;110,832;7;6
F. MASSA;6;8;111,345;1866,436;1;111,345;7;7
F. MASSA;6;10;116,868;2613,646;2;116,52;5;1
F. MASSA;6;11;98,277;2711,923;2;98,016;5;2
F. MASSA;6;12;110,5;2822,423;2;110,326;5;3
F. MASSA;6;13;97,84;2920,263;2;97,753;5;4
F. MASSA;6;14;121,089;3041,352;2;121,089;5;5
F. MASSA;6;16;129,209;3590,811;3;129,209;1;1
N. HEIDFELD;9;2;127,26;1093,732;1;126,912;5;1
N. HEIDFELD;9;3;101,903;1195,635;1;101,642;5;2
N. HEIDFELD;9;4;101,112;1296,747;1;100,938;5;3
N. HEIDFELD;9;5;113,26;1410,007;1;113,173;5;4
N. HEIDFELD;9;6;100,754;1510,761;1;100,754;5;5
N. HEIDFELD;9;8;126,335;2231,513;2;126,161;3;1
N. HEIDFELD;9;9;102,063;2333,576;2;101,976;3;2
N. HEIDFELD;9;10;119,033;2452,609;2;119,033;3;3
N. HEIDFELD;9;12;114,427;3046,821;3;114,253;3;1
N. HEIDFELD;9;13;99,113;3145,934;3;99,026;3;2
N. HEIDFELD;9;14;108,888;3254,822;3;108,888;3;3
N. ROSBERG;8;2;132,048;1362,331;1;131,7;5;1
N. ROSBERG;8;3;100,78;1463,111;1;100,519;5;2
N. ROSBERG;8;4;100,605;1563,716;1;100,431;5;3
N. ROSBERG;8;5;113,886;1677,602;1;113,799;5;4
N. ROSBERG;8;6;100,182;1777,784;1;100,182;5;5
N. ROSBERG;8;8;116,406;2376,983;2;116,319;2;1
N. ROSBERG;8;9;98,58;2475,563;2;98,58;2;2
N. ROSBERG;8;11;137,412;3320,751;3;137,151;4;1
N. ROSBERG;8;12;107,165;3427,916;3;106,991;4;2
N. ROSBERG;8;13;104,48;3532,396;3;104,393;4;3
N. ROSBERG;8;14;99,136;3631,532;3;99,136;4;4
R. BARRICHELLO;11;2;132,718;1157,207;1;132,457;4;1
R. BARRICHELLO;11;3;123,35;1280,557;1;123,176;4;2
R. BARRICHELLO;11;4;106,858;1387,415;1;106,771;4;3
R. BARRICHELLO;11;5;101,617;1489,032;1;101,617;4;4
R. BARRICHELLO;11;7;130,547;2034,822;2;130,199;5;1
R. BARRICHELLO;11;8;103,815;2138,637;2;103,554;5;2
R. BARRICHELLO;11;9;126,501;2265,138;2;126,327;5;3
R. BARRICHELLO;11;10;114,322;2379,46;2;114,235;5;4
R. BARRICHELLO;11;11;101,924;2481,384;2;101,924;5;5
R. BARRICHELLO;11;13;117,464;3118,905;3;117,116;5;1
R. BARRICHELLO;11;14;100,093;3218,998;3;99,832;5;2
R. BARRICHELLO;11;15;109,008;3328,006;3;108,834;5;3
R. BARRICHELLO;11;16;108,019;3436,025;3;107,932;5;4
R. BARRICHELLO;11;17;99,987;3536,012;3;99,987;5;5
V. PETROV;10;3;138,731;1065,911;2;138,383;5;1
V. PETROV;10;4;108,78;1174,691;2;108,519;5;2
V. PETROV;10;5;104,536;1279,227;2;104,362;5;3
V. PETROV;10;6;101,585;1380,812;2;101,498;5;4
V. PETROV;10;7;101,658;1482,47;2;101,658;5;5
V. PETROV;10;9;125,718;2458,628;3;125,37;5;1
V. PETROV;10;10;101,079;2559,707;3;100,818;5;2
V. PETROV;10;11;101,153;2660,86;3;100,979;5;3
V. PETROV;10;12;104,878;2765,738;3;104,791;5;4
V. PETROV;10;13;101,254;2866,992;3;101,254;5;5
V. PETROV;10;15;114,659;3498,598;4;114,572;2;1
V. PETROV;10;16;98,822;3597,42;4;98,822;2;2
P. MALDONADO;12;2;129,803;1088,014;1;129,629;3;1
P. MALDONADO;12;3;102,973;1190,987;1;102,886;3;2
P. MALDONADO;12;4;102,181;1293,168;1;102,181;3;3
