Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;122,839;167,839;1;122,665;3;1
T. GLOCK;24;2;102,96;270,799;1;102,873;3;2
T. GLOCK;24;3;103,037;373,836;1;103,037;3;3
T. GLOCK;24;5;114,391;834,812;2;114,13;4;1
T. GLOCK;24;6;114,362;949,174;2;114,188;4;2
T. GLOCK;24;7;117,315;1066,489;2;117,228;4;3
T. GLOCK;24;8;102,553;1169,042;2;102,553;4;4
J. D'AMBROSIO;25;1;121,133;183,133;1;120,959;3;1
J. D'AMBROSIO;25;2;104,56;287,693;1;104,473;3;2
J. D'AMBROSIO;25;3;103,735;391,428;1;103,735;3;3
J. D'AMBROSIO;25;5;122,892;930,107;2;122,892;1;1
H. KOVALAINEN;20;1;118,739;170,739;1;118,391;5;1
H. KOVALAINEN;20;2;108,099;278,838;1;107,838;5;2
H. KOVALAINEN;20;3;101,678;380,516;1;101,504;5;3
H. KOVALAINEN;20;4;114,175;494,691;1;114,088;5;4
H. KOVALAINEN;20;5;102,275;596,966;1;102,275;5;5
H. KOVALAINEN;20;7;112,159;983,434;2;111,985;3;1
H. KOVALAINEN;20;8;107,501;1090,935;2;107,414;3;2
H. KOVALAINEN;20;9;101,664;1192,599;2;101,664;3;3
J. TRULLI;21;1;117,471;159,471;1;117,21;4;1
J. TRULLI;21;2;107,247;266,718;1;107,073;4;2
J. TRULLI;21;3;106,412;373,13;1;106,325;4;3
J. TRULLI;21;4;102,234;475,364;1;102,234;4;4
J. TRULLI;21;6;124,013;916,85;2;123,839;3;1
J. TRULLI;21;7;110,198;1027,048;2;110,111;3;2
J. TRULLI;21;8;105,026;1132,074;2;105,026;3;3
V. LIUZZI;23;1;125,411;128,411;1;125,15;4;1
V. LIUZZI;23;2;104,477;232,888;1;104,303;4;2
V. LIUZZI;23;3;117,289;350,177;1;117,202;4;3
V. LIUZZI;23;4;103,584;453,761;1;103,584;4;4
V. LIUZZI;23;6;122,216;903,815;2;121,955;4;1
V. LIUZZI;23;7;103,597;1007,412;2;103,423;4;2
V. LIUZZI;23;8;115,805;1123,217;2;115,718;4;3
V. LIUZZI;23;9;103,631;1226,848;2;103,631;4;4
S. VETTEL;1;1;121,858;255,858;1;121,336;7;1
S. VETTEL;1;2;99,965;355,823;1;99,53;7;2
S. VETTEL;1;3;104,514;460,337;1;104,166;7;3
S. VETTEL;1;4;99,356;559,693;1;99,095;7;4
S. VETTEL;1;5;99,413;659,106;1;99,239;7;5
S. VETTEL;1;6;99,116;758,222;1;99,029;7;6
S. VETTEL;1;7;132,791;891,013;1;132,791;7;7
S. VETTEL;1;9;125,51;1778,085;2;125,336;3;1
S. VETTEL;1;10;97,305;1875,39;2;97,218;3;2
S. VETTEL;1;11;132,535;2007,925;2;132,535;3;3
S. VETTEL;1;13;118,687;3387,965;3;118,513;3;1
S. VETTEL;1;14;96,975;3484,94;3;96,888;3;2
S. VETTEL;1;15;123,435;3608,375;3;123,435;3;3
S. VETTEL;1;17;114,931;3796,827;4;114,931;1;1
L. HAMILTON;3;1;123,633;388,633;1;123,372;4;1
L. HAMILTON;3;2;100,258;488,891;1;100,084;4;2
L. HAMILTON;3;3;104,488;593,379;1;104,401;4;3
L. HAMILTON;3;4;99,244;692,623;1;99,244;4;4
L. HAMILTON;3;6;118,695;1795,77;2;118,608;2;1
L. HAMILTON;3;7;97,727;1893,497;2;97,727;2;2
L. HAMILTON;3;9;123,368;3362,485;3;123,281;2;1
L. HAMILTON;3;10;97,38;3459,865;3;97,38;2;2
L. HAMILTON;3;12;121,268;3785,049;4;121,268;1;1
M. WEBBER;2;1;100,429;300,429;1;100,168;4;1
M. WEBBER;2;2;109,177;409,606;1;109,003;4;2
M. WEBBER;2;3;100,554;510,16;1;100,467;4;3
M. WEBBER;2;4;121,686;631,846;1;121,686;4;4
M. WEBBER;2;6;111,727;1051,144;2;111,553;3;1
M. WEBBER;2;7;99,956;1151,1;2;99,869;3;2
M. WEBBER;2;8;118,607;1269,707;2;118,607;3;3
M. WEBBER;2;10;98,058;1844,356;3;97,971;2;1
M. WEBBER;2;11;109,917;1954,273;3;109,917;2;2
M. WEBBER;2;13;97,539;3463,607;4;97,452;2;1
M. WEBBER;2;14;124,607;3588,214;4;124,607;2;2
M. WEBBER;2;16;97,163;3860,283;5;97,163;1;1
F. ALONSO;5;1;122,32;180,32;1;121,972;5;1
F. ALONSO;5;2;103,458;283,778;1;103,197;5;2
F. ALONSO;5;3;100,254;384,032;1;100,08;5;3
F. ALONSO;5;4;102,108;486,14;1;102,021;5;4
F. ALONSO;5;5;99,846;585,986;1;99,846;5;5
F. ALONSO;5;7;116,567;963,649;2;116,306;4;1
F. ALONSO;5;8;100,89;1064,539;2;100,716;4;2
F. ALONSO;5;9;101,209;1165,748;2;101,122;4;3
F. ALONSO;5;10;99,725;1265,473;2;99,725;4;4
F. ALONSO;5;12;117,708;1751,027;3;117,534;3;1
F. ALONSO;5;13;97,93;1848,957;3;97,843;3;2
F. ALONSO;5;14;109,798;1958,755;3;109,798;3;3
F. ALONSO;5;16;109,956;3333,316;4;109,869;2;1
F. ALONSO;5;17;97,454;3430,77;4;97,454;2;2
F. ALONSO;5;19;118,523;3772,237;5;118,523;1;1
J. BUTTON;4;1;112,543;362,543;1;112,282;4;1
J. BUTTON;4;2;99,605;462,148;1;99,431;4;2
J. BUTTON;4;3;113,875;576,023;1;113,788;4;3
J. BUTTON;4;4;99,453;675,476;1;99,453;4;4
J. BUTTON;4;6;122,871;1783,409;2;122,784;2;1
J. BUTTON;4;7;97,749;1881,158;2;97,749;2;2
J. BUTTON;4;9;118,101;3354,609;3;118,014;2;1
J. BUTTON;4;10;97,675;3452,284;3;97,675;2;2
J. BUTTON;4;12;117,546;3790,49;4;117,459;2;1
J. BUTTON;4;13;97,645;3888,135;4;97,645;2;2
M. SCHUMACHER;7;1;126,782;139,782;1;126,434;5;1
M. SCHUMACHER;7;2;102,161;241,943;1;101,9;5;2
M. SCHUMACHER;7;3;101,86;343,803;1;101,686;5;3
M. SCHUMACHER;7;4;107,723;451,526;1;107,636;5;4
M. SCHUMACHER;7;5;101,459;552,985;1;101,459;5;5
M. SCHUMACHER;7;7;124,444;952,895;2;124,357;2;1
M. SCHUMACHER;7;8;99,198;1052,093;2;99,198;2;2
M. SCHUMACHER;7;10;124,98;1871,419;3;124,893;2;1
M. SCHUMACHER;7;11;99,026;1970,445;3;99,026;2;2
M. SCHUMACHER;7;13;117,632;2563,621;4;117,545;2;1
M. SCHUMACHER;7;14;98,365;2661,986;4;98,365;2;2
M. SCHUMACHER;7;16;116,757;3767,994;5;116,67;2;1
M. SCHUMACHER;7;17;98,24;3866,234;5;98,24;2;2
F. MASSA;6;1;121,489;213,489;1;121,228;4;1
F. MASSA;6;2;101,027;314,516;1;100,853;4;2
F. MASSA;6;3;109,635;424,151;1;109,548;4;3
F. MASSA;6;4;100,158;524,309;1;100,158;4;4
F. MASSA;6;6;110,906;1105,738;2;110,819;2;1
F. MASSA;6;7;98,413;1204,151;2;98,413;2;2
F. MASSA;6;9;112,507;1707,977;3;112,333;3;1
F. MASSA;6;10;98,566;1806,543;3;98,479;3;2
F. MASSA;6;11;114,279;1920,822;3;114,279;3;3
F. MASSA;6;13;109,48;2712,369;4;109,48;1;1
F. MASSA;6;15;108,263;3342,064;5;108,176;2;1
F. MASSA;6;16;97,815;3439,879;5;97,815;2;2
F. MASSA;6;18;112,9;3778,817;6;112,813;2;1
F. MASSA;6;19;97,535;3876,352;6;97,535;2;2
N. HEIDFELD;9;1;101,897;185,897;1;101,723;3;1
N. HEIDFELD;9;2;111,118;297,015;1;111,031;3;2
N. HEIDFELD;9;3;101,598;398,613;1;101,598;3;3
N. HEIDFELD;9;5;115,041;817,678;2;114,78;4;1
N. HEIDFELD;9;6;110,219;927,897;2;110,045;4;2
N. HEIDFELD;9;7;99,877;1027,774;2;99,79;4;3
N. HEIDFELD;9;8;114,219;1141,993;2;114,219;4;4
N. HEIDFELD;9;10;119,766;1800,02;3;119,679;2;1
N. HEIDFELD;9;11;99,316;1899,336;3;99,316;2;2
N. HEIDFELD;9;13;119,807;2584,325;4;119,72;2;1
N. HEIDFELD;9;14;98,781;2683,106;4;98,781;2;2
N. ROSBERG;8;1;120,715;204,715;1;120,367;5;1
N. ROSBERG;8;2;102,561;307,276;1;102,3;5;2
N. ROSBERG;8;3;112,421;419,697;1;112,247;5;3
N. ROSBERG;8;4;102,326;522,023;1;102,239;5;4
N. ROSBERG;8;5;100,857;622,88;1;100,857;5;5
N. ROSBERG;8;7;113,541;959,173;2;113,454;2;1
N. ROSBERG;8;8;99,266;1058,439;2;99,266;2;2
N. ROSBERG;8;10;115,429;1803,843;3;115,342;2;1
N. ROSBERG;8;11;98,373;1902,216;3;98,373;2;2
N. ROSBERG;8;13;113,429;3504,925;4;113,342;2;1
N. ROSBERG;8;14;98,231;3603,156;4;98,231;2;2
