Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;2;104,643;808,715;1;104,202;5;1
T. GLOCK;24;3;104,128;912,843;1;103,797;5;2
T. GLOCK;24;4;108,748;1021,591;1;108,528;5;3
T. GLOCK;24;5;102,3;1123,891;1;102,19;5;4
T. GLOCK;24;6;109,62;1233,511;1;109,62;5;5
T. GLOCK;24;8;101,003;2156,092;2;100,672;4;1
T. GLOCK;24;9;102,348;2258,44;2;102,128;4;2
T. GLOCK;24;10;99,366;2357,806;2;99,256;4;3
T. GLOCK;24;11;108,065;2465,871;2;108,065;4;4
T. GLOCK;24;13;98,359;3202,191;3;97,918;5;1
T. GLOCK;24;14;97,614;3299,805;3;97,283;5;2
T. GLOCK;24;15;106,362;3406,167;3;106,142;5;3
T. GLOCK;24;16;98,118;3504,285;3;98,008;5;4
T. GLOCK;24;17;120,191;3624,476;3;120,191;5;5
J. D'AMBROSIO;25;2;111,611;657,992;1;111,391;3;1
J. D'AMBROSIO;25;3;107,825;765,817;1;107,715;3;2
J. D'AMBROSIO;25;4;114,689;880,506;1;114,689;3;3
J. D'AMBROSIO;25;6;106,222;1891,375;2;105,451;8;1
J. D'AMBROSIO;25;7;102,133;1993,508;2;101,472;8;2
J. D'AMBROSIO;25;8;100,784;2094,292;2;100,233;8;3
J. D'AMBROSIO;25;9;100,178;2194,47;2;99,737;8;4
J. D'AMBROSIO;25;10;99,439;2293,909;2;99,108;8;5
J. D'AMBROSIO;25;11;99,042;2392,951;2;98,822;8;6
J. D'AMBROSIO;25;12;99,39;2492,341;2;99,28;8;7
J. D'AMBROSIO;25;13;111,21;2603,551;2;111,21;8;8
J. D'AMBROSIO;25;15;98,068;3124,503;3;97,627;5;1
J. D'AMBROSIO;25;16;104,906;3229,409;3;104,575;5;2
J. D'AMBROSIO;25;17;104,068;3333,477;3;103,848;5;3
J. D'AMBROSIO;25;18;98,54;3432,017;3;98,43;5;4
J. D'AMBROSIO;25;19;132,977;3564,994;3;132,977;5;5
H. KOVALAINEN;20;2;101,075;698,561;1;100,524;6;1
H. KOVALAINEN;20;3;100,628;799,189;1;100,187;6;2
H. KOVALAINEN;20;4;107,811;907;1;107,48;6;3
H. KOVALAINEN;20;5;109,033;1016,033;1;108,813;6;4
H. KOVALAINEN;20;6;101,278;1117,311;1;101,168;6;5
H. KOVALAINEN;20;7;110,855;1228,166;1;110,855;6;6
H. KOVALAINEN;20;9;97,612;2228,863;2;97,171;5;1
H. KOVALAINEN;20;10;97,985;2326,848;2;97,654;5;2
H. KOVALAINEN;20;11;96,904;2423,752;2;96,684;5;3
H. KOVALAINEN;20;12;96,993;2520,745;2;96,883;5;4
H. KOVALAINEN;20;13;99,562;2620,307;2;99,562;5;5
H. KOVALAINEN;20;15;95,225;3008,535;3;94,674;6;1
H. KOVALAINEN;20;16;98,365;3106,9;3;97,924;6;2
H. KOVALAINEN;20;17;96,601;3203,501;3;96,27;6;3
H. KOVALAINEN;20;18;100,895;3304,396;3;100,675;6;4
H. KOVALAINEN;20;19;98,469;3402,865;3;98,359;6;5
H. KOVALAINEN;20;20;104,898;3507,763;3;104,898;6;6
J. TRULLI;21;2;103,682;664,425;1;103,021;7;1
J. TRULLI;21;3;101,848;766,273;1;101,297;7;2
J. TRULLI;21;4;105,951;872,224;1;105,51;7;3
J. TRULLI;21;5;114,483;986,707;1;114,152;7;4
J. TRULLI;21;6;108,264;1094,971;1;108,044;7;5
J. TRULLI;21;7;110,273;1205,244;1;110,163;7;6
J. TRULLI;21;8;129,433;1334,677;1;129,433;7;7
J. TRULLI;21;10;108,815;2249,089;2;108,484;4;1
J. TRULLI;21;11;102,174;2351,263;2;101,954;4;2
J. TRULLI;21;12;103,115;2454,378;2;103,005;4;3
J. TRULLI;21;13;126,529;2580,907;2;126,529;4;4
J. TRULLI;21;15;96,905;2990,3;3;96,354;6;1
J. TRULLI;21;16;97,165;3087,465;3;96,724;6;2
J. TRULLI;21;17;97,044;3184,509;3;96,713;6;3
J. TRULLI;21;18;109,934;3294,443;3;109,714;6;4
J. TRULLI;21;19;97,129;3391,572;3;97,019;6;5
J. TRULLI;21;20;113,189;3504,761;3;113,189;6;6
D. RICCIARDO;22;2;112,121;962,076;1;111,79;4;1
D. RICCIARDO;22;3;105,022;1067,098;1;104,802;4;2
D. RICCIARDO;22;4;104,221;1171,319;1;104,111;4;3
D. RICCIARDO;22;5;108,805;1280,124;1;108,805;4;4
D. RICCIARDO;22;7;105,655;2032,018;2;105,214;5;1
D. RICCIARDO;22;8;101,478;2133,496;2;101,147;5;2
D. RICCIARDO;22;9;99,75;2233,246;2;99,53;5;3
D. RICCIARDO;22;10;100,569;2333,815;2;100,459;5;4
D. RICCIARDO;22;11;110,216;2444,031;2;110,216;5;5
D. RICCIARDO;22;13;98,982;2997,248;3;98,431;6;1
D. RICCIARDO;22;14;110,671;3107,919;3;110,23;6;2
D. RICCIARDO;22;15;98,289;3206,208;3;97,958;6;3
D. RICCIARDO;22;16;102,988;3309,196;3;102,768;6;4
D. RICCIARDO;22;17;98,817;3408,013;3;98,707;6;5
D. RICCIARDO;22;18;101,506;3509,519;3;101,506;6;6
V. LIUZZI;23;3;102,688;1876,685;2;102,247;5;1
V. LIUZZI;23;4;101,351;1978,036;2;101,02;5;2
V. LIUZZI;23;5;100,555;2078,591;2;100,335;5;3
V. LIUZZI;23;6;103,627;2182,218;2;103,517;5;4
V. LIUZZI;23;7;100,588;2282,806;2;100,588;5;5
V. LIUZZI;23;9;98,68;2927,623;3;97,909;8;1
V. LIUZZI;23;10;108,225;3035,848;3;107,564;8;2
