Name;DriverNum;Lap;Time;Elapsed;Stint;Fuel Corrected Laptime;Stint Length;Lap in stint
T. GLOCK;24;1;98,786;165,786;1;98,455;4;1
T. GLOCK;24;2;96,564;262,35;1;96,344;4;2
T. GLOCK;24;3;96,203;358,553;1;96,093;4;3
T. GLOCK;24;4;99,597;458,15;1;99,597;4;4
J. D'AMBROSIO;25;1;97,921;106,921;1;97,59;4;1
J. D'AMBROSIO;25;2;97,154;204,075;1;96,934;4;2
J. D'AMBROSIO;25;3;97,227;301,302;1;97,117;4;3
J. D'AMBROSIO;25;4;106,387;407,689;1;106,387;4;4
H. KOVALAINEN;20;1;95,677;98,677;1;95,457;3;1
H. KOVALAINEN;20;2;94,923;193,6;1;94,813;3;2
H. KOVALAINEN;20;3;97,655;291,255;1;97,655;3;3
H. KOVALAINEN;20;6;94,94;2237,109;3;94,72;3;1
H. KOVALAINEN;20;7;94,821;2331,93;3;94,711;3;2
H. KOVALAINEN;20;8;97,436;2429,366;3;97,436;3;3
J. TRULLI;21;1;96,456;117,456;1;96,346;2;1
J. TRULLI;21;2;96,962;214,418;1;96,962;2;2
D. RICCIARDO;22;1;98,581;124,581;1;98,25;4;1
D. RICCIARDO;22;2;102,76;227,341;1;102,54;4;2
D. RICCIARDO;22;3;98,059;325,4;1;97,949;4;3
D. RICCIARDO;22;4;100,79;426,19;1;100,79;4;4
V. LIUZZI;23;1;99,11;123,11;1;98,669;5;1
V. LIUZZI;23;2;98,137;221,247;1;97,806;5;2
V. LIUZZI;23;3;103,257;324,504;1;103,037;5;3
V. LIUZZI;23;4;97,484;421,988;1;97,374;5;4
V. LIUZZI;23;5;124,396;546,384;1;124,396;5;5
S. VETTEL;1;1;94,846;151,846;1;94,405;5;1
S. VETTEL;1;2;93,555;245,401;1;93,224;5;2
S. VETTEL;1;3;102,736;348,137;1;102,516;5;3
S. VETTEL;1;4;92,977;441,114;1;92,867;5;4
S. VETTEL;1;5;109,062;550,176;1;109,062;5;5
S. VETTEL;1;7;107,878;1789,929;2;107,658;3;1
S. VETTEL;1;8;100,765;1890,694;2;100,655;3;2
S. VETTEL;1;9;97,146;1987,84;2;97,146;3;3
S. VETTEL;1;11;92,379;2261,434;3;92,159;3;1
