qualify,practice,driver,DriverNum,Lap,Stint,track
73.556,75.245,S. VETTEL,1.0,15.0,3.0,monaco
73.014,73.381,S. VETTEL,1,13,3,canada
96.975,97.258,S. VETTEL,1.0,14.0,3.0,europa
90.431,91.401,S. VETTEL,1,15,4,great_britain
90.216,90.916,S. VETTEL,1,14,4,germany
79.815,81.168,S. VETTEL,1,12,4,hungary
108.298,111.79,S. VETTEL,1,19,4,belgium
74.019,75.529,M. WEBBER,2.0,20.0,4.0,monaco
73.429,76.102,M. WEBBER,2,20,4,canada
97.163,98.068,M. WEBBER,2.0,16.0,5.0,europa
90.399,91.829,M. WEBBER,2,15,4,great_britain
90.079,91.049,M. WEBBER,2,16,4,germany
80.474,81.508,M. WEBBER,2,14,4,hungary
109.376,110.321,M. WEBBER,2,19,4,belgium
74.275,75.228,L. HAMILTON,3.0,9.0,2.0,monaco
73.565,74.469,L. HAMILTON,3,17,4,canada
97.38,98.195,L. HAMILTON,3.0,10.0,3.0,europa
92.376,93.842,L. HAMILTON,3,16,5,great_britain
90.134,91.578,L. HAMILTON,3,13,4,germany
79.978,81.018,L. HAMILTON,3,7,3,hungary
108.73,110.838,L. HAMILTON,3,18,4,belgium
73.997,74.996,J. BUTTON,4.0,13.0,3.0,monaco
73.838,74.335,J. BUTTON,4,19,4,canada
97.645,98.326,J. BUTTON,4.0,13.0,4.0,europa
91.898,92.956,J. BUTTON,4,17,5,great_britain
91.288,91.623,J. BUTTON,4,10,3,germany
80.024,81.322,J. BUTTON,4,13,4,hungary
121.813,110.77,J. BUTTON,4,6,1,belgium
74.483,74.433,F. ALONSO,5.0,17.0,3.0,monaco
73.199,73.701,F. ALONSO,5,18,3,canada
97.454,97.678,F. ALONSO,5.0,17.0,4.0,europa
90.516,91.464,F. ALONSO,5,16,5,great_britain
90.442,91.138,F. ALONSO,5,14,4,germany
80.262,81.259,F. ALONSO,5,7,2,hungary
111.251,110.461,F. ALONSO,5,19,4,belgium
74.648,75.024,F. MASSA,6.0,16.0,4.0,monaco
73.217,73.956,F. MASSA,6,19,3,canada
97.535,97.84,F. MASSA,6.0,19.0,6.0,europa
91.124,92.169,F. MASSA,6,12,3,great_britain
90.91,92.144,F. MASSA,6,17,5,germany
80.35,82.002,F. MASSA,6,13,4,hungary
110.256,111.218,F. MASSA,6,18,4,belgium
74.682,75.31,M. SCHUMACHER,7.0,26.0,6.0,monaco
73.864,74.488,M. SCHUMACHER,7,13,3,canada
98.24,98.315,M. SCHUMACHER,7.0,17.0,5.0,europa
92.656,93.551,M. SCHUMACHER,7,13,4,great_britain
92.18,92.411,M. SCHUMACHER,7,12,4,germany
81.852,82.44,M. SCHUMACHER,7,12,4,hungary
nan,111.922,M. SCHUMACHER,nan,nan,nan,belgium
74.741,75.321,N. ROSBERG,8.0,17.0,3.0,monaco
73.814,73.919,N. ROSBERG,8,12,3,canada
98.231,98.58,N. ROSBERG,8.0,14.0,4.0,europa
92.209,93.044,N. ROSBERG,8,14,5,great_britain
91.263,91.694,N. ROSBERG,8,20,5,germany
81.098,82.121,N. ROSBERG,8,10,4,hungary
110.552,111.242,N. ROSBERG,8,20,4,belgium
76.214,77.126,N. HEIDFELD,9.0,18.0,4.0,monaco
74.062,75.35,N. HEIDFELD,9,26,6,canada
98.781,99.04,N. HEIDFELD,9.0,14.0,4.0,europa
93.805,94.822,N. HEIDFELD,9,13,3,great_britain
92.215,93.072,N. HEIDFELD,9,14,4,germany
